"","x","y","Crop.productivity","Forest.productivity","Grassland.productivity","Financial.capital","Human.capital","Social.capital","Manufactured.capital","Urban.capital"
"1",160,73,0.39728658,0,0.00836192,1.25572262,0.86575128,1.09096429,1.05509767,0.05150667
"2",161,74,0.20093789,0,0.0083362,1.25186037,0.86308847,1.08760879,1.05185249,0.06982953
"3",162,74,0.22056005,0,0.21565123,1.25186037,0.86308847,1.08760879,1.05185249,0.04563454
"4",160,75,0.39938049,0,0.21498406,1.24728658,0.86066795,1.08424401,1.04859833,0.1561799
"5",161,75,0.21122291,0,0.00831041,1.24798744,0.8604183,1.08424401,1.04859833,0.14339257
"6",162,75,0.21811768,0,0.00880615,1.24798744,0.8604183,1.08424401,1.04859833,0.07133517
"7",161,76,0.08768131,0.30796792,0.24104192,1.24410331,0.8577404,1.08086949,1.04533476,0.07843936
"8",162,76,0.3344532,0.00738505,0.22678041,1.24410331,0.8577404,1.08086949,1.04533476,0.05390575
"9",162,77,0.35376582,0,0,1.24020849,0.85505514,1.0774857,1.04206221,0.14721803
"10",163,77,0.19131222,0,0.21947736,1.24020849,0.85505514,1.0774857,1.04206221,0.09148555
"11",162,78,0.21631419,0,0.23548384,1.236303,0.85236252,1.07409264,1.0387807,0.18864672
"12",163,78,0.20022733,0,0.00834422,1.17223614,0.85201169,1.0616406,1.01790543,0.19333711
"13",164,78,0.2957161,0,0.2852076,1.236303,0.85236252,1.07409264,1.0387807,0.02220329
"14",165,78,0.31079169,0,0.28542638,1.236303,0.85236252,1.07409264,1.0387807,0.05734657
"15",163,79,0.36178739,0,0.23224144,1.23583384,0.85068267,1.07068983,1.03548976,0.17466166
"16",164,79,0.20898348,0,0.00791142,1.2323863,0.84966218,1.07068983,1.03548976,0.06834297
"17",165,79,0.21855779,0,0.00784595,1.2323863,0.84966218,1.07068983,1.03548976,0.11737156
"18",166,79,0.31883738,0.00574009,0.00931173,1.2323863,0.84966218,1.07068983,1.03548976,0.06657454
"19",159,77,0.28624738,0.47005609,0.25119715,1.24367792,0.85608212,1.0774857,1.04206221,0.06466694
"20",160,77,0.28656875,0.47090566,0.24311301,1.24367792,0.85608212,1.0774857,1.04206221,0.09835519
"21",161,77,0.15388138,0.47082735,0.24290585,1.24367792,0.85608212,1.0774857,1.04206221,0.06785072
"22",153,78,0.03046094,0,0.33259865,1.2397615,0.85338626,1.07409264,1.0387807,0.01098633
"23",154,78,0.05837692,0.43373733,0.28350742,1.2397615,0.85338626,1.07409264,1.0387807,0
"24",157,78,0.05848258,0.43373733,0.2834606,1.2397615,0.85338626,1.07409264,1.0387807,0.01585317
