"","x","y","Crop.productivity","Forest.productivity","Grassland.productivity","Financial.capital","Human.capital","Social.capital","Manufactured.capital","Urban.capital"
"1",160,73,0.39930222,0,0.16723844,1.11185105,0.78944436,0.90065081,1.00450212,0.04421042
"2",161,74,0.31222985,0,0.16672406,1.10843131,0.78701625,0.89788066,1.00141255,0.05552152
"3",162,74,0.32774446,0,0.238212,1.10843131,0.78701625,0.89788066,1.00141255,0.0350441
"4",160,75,0.41073708,0,0.23747504,1.10346897,0.78626508,0.89510285,0.99831444,0.13073857
"5",161,75,0.32411502,0,0.16620826,1.10500212,0.78458143,0.89510285,0.99831444,0.11230798
"6",162,75,0.32748396,0,0.17612301,1.10500212,0.78458143,0.89510285,0.99831444,0.05606752
"7",161,76,0.187837,0.26119546,0.23830187,1.10156299,0.78213956,0.89231701,0.99520737,0.06206904
"8",162,76,0.37132654,0.14770102,0.25172583,1.10156299,0.78213956,0.89231701,0.99520737,0.04097565
"9",162,77,0.48731485,0,0,1.09811442,0.77969098,0.8895235,0.99209175,0.11444016
"10",163,77,0.27479342,0,0.23087423,1.09811442,0.77969098,0.8895235,0.99209175,0.07306365
"11",162,78,0.39446472,0,0.24520836,1.09465639,0.77723569,0.88672234,0.9889676,0.156691
"12",163,78,0.27691842,0,0.16688435,0.93874184,0.77185818,0.84405844,0.91493158,0.16723816
"13",164,78,0.33592271,0,0.29862471,1.09465639,0.77723569,0.88672234,0.9889676,0.01963263
"14",165,78,0.34342118,0,0.29870015,1.09465639,0.77723569,0.88672234,0.9889676,0.04717203
"15",163,79,0.46573415,0,0.25614666,1.09849879,0.78211173,0.88391313,0.98583447,0.15091435
"16",164,79,0.30926357,0,0.15822839,1.09118844,0.77477334,0.88391313,0.98583447,0.05834055
"17",165,79,0.31797208,0,0.15691906,1.09118844,0.77477334,0.88391313,0.98583447,0.10077739
"18",166,79,0.43799054,0.11480173,0.18623462,1.09118844,0.77477334,0.88391313,0.98583447,0.05997343
"19",159,77,0.33807336,0.38900499,0.24131788,1.10547117,0.78707595,0.8895235,0.99209175,0.05405206
"20",160,77,0.3408678,0.37219775,0.08383207,1.10547117,0.78707595,0.8895235,0.99209175,0.08703225
"21",161,77,0.21386792,0.37063157,0.08376064,1.10547117,0.78707595,0.8895235,0.99209175,0.05753741
"22",153,78,0.04747297,0,0.37390349,1.10198997,0.7845974,0.88672234,0.9889676,0.00987784
"23",154,78,0.02012997,0.34731101,0.2665952,1.10198997,0.7845974,0.88672234,0.9889676,0
"24",157,78,0.02016641,0.34731101,0.26657045,1.10198997,0.7845974,0.88672234,0.9889676,0.01399621
"25",158,78,0.02062998,0.35226032,0.265674,1.10198997,0.7845974,0.88672234,0.9889676,0.04814928
"26",159,78,0.02076363,0.35602222,0.26508912,1.10198997,0.7845974,0.88672234,0.9889676,0.1431311
"27",160,78,0.52004516,0,0.17868354,1.10198997,0.7845974,0.88672234,0.9889676,0.2855255
"28",161,78,0.49743028,0,0.25527245,1.10198997,0.7845974,0.88672234,0.9889676,0.2969902
"29",152,79,0.09837148,0,0.32062589,1.09849879,0.78211173,0.88391313,0.98583447,0.08020396
"30",153,79,0.02076062,0.34521421,0.26167359,1.09849879,0.78211173,0.88391313,0.98583447,0.01547443
"31",154,79,0.02068083,0.34584007,0.26350031,1.09849879,0.78211173,0.88391313,0.98583447,0.05251175
"32",155,79,0.02069458,0.34577939,0.26320805,1.09849879,0.78211173,0.88391313,0.98583447,0.0038915
"33",156,79,0.0205806,0.34621067,0.26539932,1.09849879,0.78211173,0.88391313,0.98583447,0.02557852
"34",157,79,0.02076429,0.34516161,0.26158142,1.09849879,0.78211173,0.88391313,0.98583447,0.04657644
"35",158,79,0.0205806,0.3462107,0.26539932,1.09849879,0.78211173,0.88391313,0.98583447,0.02030176
"36",159,79,0.20847546,0,0.28741265,1.09849879,0.78211173,0.88391313,0.98583447,0.04713184
"37",160,79,0.33450873,0,0.19460696,1.09849879,0.78211173,0.88391313,0.98583447,0.21091481
"38",161,79,0.48686423,0,0.17174719,1.09849879,0.78211173,0.88391313,0.98583447,0.49063844
"39",162,79,0.48153359,0,0.24301457,1.09849879,0.78211173,0.88391313,0.98583447,0.22365958
"40",151,80,0.09447808,0,0.34019198,1.09499856,0.77961963,0.88109666,0.98269324,0.07148115
"41",152,80,0.1858371,0.15573106,0.23553277,1.09499856,0.77961963,0.88109666,0.98269324,0.13970395
"42",153,80,0.18447507,0.15573106,0.23577095,1.09499856,0.77961963,0.88109666,0.98269324,0.10369855
"43",154,80,0.48652997,0,0.18776124,1.09499856,0.77961963,0.88109666,0.98269324,0.11254243
"44",155,80,0.50357745,0,0.18918383,1.09499856,0.77961963,0.88109666,0.98269324,0.02926723
"45",156,80,0.52868351,0,0.2662638,1.09499856,0.77961963,0.88109666,0.98269324,0.06942766
"46",157,80,0.50948115,0,0.17754991,1.09499856,0.77961963,0.88109666,0.98269324,0.16033567
"47",158,80,0.5185876,0,0.17754894,1.09499856,0.77961963,0.88109666,0.98269324,0.09822927
"48",159,80,0.20298464,0,0.16694192,1.09499856,0.77961963,0.88109666,0.98269324,0.08038745
"49",160,80,0.35458863,0,0.18717674,1.09499856,0.77961963,0.88109666,0.98269324,0.10449275
"50",161,80,0.47631309,0,0.17858136,1.09499856,0.77961963,0.88109666,0.98269324,0.50455835
"51",162,80,0.48656901,0,0.25608482,1.09499856,0.77961963,0.88109666,0.98269324,0.41665726
"52",163,80,0.48736569,0,0.25608484,1.09499856,0.77961963,0.88109666,0.98269324,0.22832575
"53",164,80,0.47894565,0,0.24743664,1.09499856,0.77961963,0.88109666,0.98269324,0.14933089
"54",165,80,0.47763257,0,0.23864143,1.09499856,0.77961963,0.88109666,0.98269324,0.13230683
"55",154,81,0.20965,0.3871197,0.23833337,1.09148834,0.77712042,0.87827214,0.97954303,0.07135902
"56",155,81,0.47866906,0,0.26629478,1.09148834,0.77712042,0.87827214,0.97954303,0.11756389
"57",156,81,0.48460682,0,0.07585902,1.09148834,0.77712042,0.87827214,0.97954303,0.09150698
"58",157,81,0.48193281,0,0,1.09148834,0.77712042,0.87827214,0.97954303,0.1935514
"59",158,81,0.44150781,0,0.17065113,1.09148834,0.77712042,0.87827214,0.97954303,0.19582443
"60",159,81,0.45768023,0,0.25274804,1.09148834,0.77712042,0.87827214,0.97954303,0.26043803
"61",160,81,0.47426577,0,0.25131076,1.09148834,0.77712042,0.87827214,0.97954303,0.33590055
"62",161,81,0.44691088,0,0.2531208,1.09148834,0.77712042,0.87827214,0.97954303,0.46602017
"63",163,81,0.48466283,0,0.25526389,1.09148834,0.77712042,0.87827214,0.97954303,0.28110269
"64",164,81,0.47731668,0,0.25526389,1.09148834,0.77712042,0.87827214,0.97954303,0.15402631
"65",165,81,0.43753593,0,0.25395327,1.09148834,0.77712042,0.87827214,0.97954303,0.10610164
"66",154,82,0.2044076,0.38587135,0.08259248,1.0879686,0.77461443,0.87543996,0.97638428,0.02055059
"67",155,82,0.20933315,0.38587135,0.23745661,1.0879686,0.77461443,0.87543996,0.97638428,0.05603401
"68",156,82,0.2250806,0,0.16515102,1.0879686,0.77461443,0.87543996,0.97638428,0.06303923
"69",157,82,0.46889379,0,0.26196045,1.0879686,0.77461443,0.87543996,0.97638428,0.18294455
"70",158,82,0.47181793,0,0,1.0879686,0.77461443,0.87543996,0.97638428,0.19545825
"71",159,82,0.47436013,0,0.16996338,1.0879686,0.77461443,0.87543996,0.97638428,0.16517104
"72",160,82,0.477628,0,0.24584804,1.0879686,0.77461443,0.87543996,0.97638428,0.15381306
"73",161,82,0.46357144,0,0.25444074,1.0879686,0.77461443,0.87543996,0.97638428,0.25745453
"74",162,82,0.46739832,0,0,1.0879686,0.77461443,0.87543996,0.97638428,0.25153196
"75",163,82,0.47285039,0,0,1.0879686,0.77461443,0.87543996,0.97638428,0.19678519
"76",164,82,0.48106861,0,0.25444074,1.0879686,0.77461443,0.87543996,0.97638428,0.18516679
"77",152,83,0.37097456,0.3846198,0.13742106,1.08443982,0.772102,0.87260051,0.97321743,0.02127812
"78",153,83,0.39420747,0.3846198,0.21977911,1.08443982,0.772102,0.87260051,0.97321743,0.02744334
"79",154,83,0.20143097,0.38367361,0.23619431,1.08443982,0.772102,0.87260051,0.97321743,0.07086015
"80",155,83,0.2197676,0,0.16461536,1.08443982,0.772102,0.87260051,0.97321743,0.08271837
"81",156,83,0.18576558,0,0.22812871,1.08443982,0.772102,0.87260051,0.97321743,0.06748101
"82",157,83,0.47233883,0,0.26457509,1.08443982,0.772102,0.87260051,0.97321743,0.05921321
"83",158,83,0.33729742,0,0.21007424,1.08443982,0.772102,0.87260051,0.97321743,0.11416667
"84",159,83,0.2248902,0,0.15627979,1.08443982,0.772102,0.87260051,0.97321743,0.1563595
"85",160,83,0.2221963,0,0,1.08443982,0.772102,0.87260051,0.97321743,0.17970933
"86",161,83,0.22042805,0,0,1.08443982,0.772102,0.87260051,0.97321743,0.13014862
"87",162,83,0.21822021,0,0,1.08443982,0.772102,0.87260051,0.97321743,0.18744222
"88",163,83,0.46960365,0,0,1.08443982,0.772102,0.87260051,0.97321743,0.19271414
"89",164,83,0.4771137,0,0.17685935,1.08443982,0.772102,0.87260051,0.97321743,0.17218298
"90",165,83,0.4359033,0,0.25361547,1.08443982,0.772102,0.87260051,0.97321743,0.10414453
"91",153,84,0.24050586,0,0.23288631,1.08090105,0.76958246,0.86975302,0.9700416,0.09761269
"92",154,84,0.22489853,0,0.16407818,1.08090105,0.76958246,0.86975302,0.9700416,0.11563452
"93",155,84,0.18616821,0,0.15003553,1.08090105,0.76958246,0.86975302,0.9700416,0.09898199
"94",156,84,0.18692182,0,0.16407818,1.08090105,0.76958246,0.86975302,0.9700416,0.06933904
"95",157,84,0.21450332,0,0,1.08090105,0.76958246,0.86975302,0.9700416,0.06285905
"96",158,84,0.21488904,0,0.15159975,1.08090105,0.76958246,0.86975302,0.9700416,0.08894144
"97",159,84,0.34471321,0,0.15576981,1.08090105,0.76958246,0.86975302,0.9700416,0.11713315
"98",160,84,0.4199394,0,0.15817386,1.08090105,0.76958246,0.86975302,0.9700416,0.10820045
"99",162,84,0.41881354,0,0.15576981,1.08090105,0.76958246,0.86975302,0.9700416,0.11700465
"100",163,84,0.40753556,0,0.15576981,1.08090105,0.76958246,0.86975302,0.9700416,0.12818662
"101",154,85,0.22736883,0,0,1.07735276,0.76705614,0.86689787,0.96685723,0.06110937
