"","x","y","Crop.productivity","Forest.productivity","Grassland.productivity","Financial.capital","Human.capital","Social.capital","Manufactured.capital","Urban.capital"
"1",160,73,0.39887788,0,0.13379075,1.1421398,0.80550898,0.94071681,1.01515381,0.04574647
"2",161,74,0.28879996,0,0.13337925,1.1386269,0.80303146,0.93782342,1.01203149,0.05853373
"3",162,74,0.30517932,0,0.23346236,1.1386269,0.80303146,0.93782342,1.01203149,0.03727367
"4",160,75,0.40834622,0,0.23274009,1.13374636,0.80192884,0.93492204,1.00890053,0.13609464
"5",161,75,0.30034826,0,0.13296661,1.13510429,0.80054709,0.93492204,1.00890053,0.11885211
"6",162,75,0.30445948,0,0.14089841,1.13510429,0.80054709,0.93492204,1.00890053,0.05928176
"7",161,76,0.16675159,0.2710423,0.23887873,1.13157148,0.79805553,0.93201227,1.0057605,0.06551543
"8",162,76,0.36356373,0.11816081,0.24647416,1.13157148,0.79805553,0.93201227,1.0057605,0.04369778
"9",162,77,0.45919927,0,0,1.12802896,0.79555712,0.92909449,1.00261185,0.12134077
"10",163,77,0.25721843,0,0.22847489,1.12802896,0.79555712,0.92909449,1.00261185,0.07694194
"11",162,78,0.35695935,0,0.24316109,1.12447673,0.79305186,0.92616872,0.99945457,0.16341852
"12",163,78,0.26077293,0,0.13350748,0.98789854,0.78873261,0.88986521,0.93661028,0.17273268
"13",164,78,0.32745816,0,0.29580005,1.12447673,0.79305186,0.92616872,0.99945457,0.02017382
"14",165,78,0.33655181,0,0.29590567,1.12447673,0.79305186,0.92616872,0.99945457,0.04931404
"15",163,79,0.44385062,0,0.25111398,1.12741143,0.79654772,0.92323454,0.99628822,0.15591378
"16",164,79,0.28815197,0,0.12658271,1.1209143,0.79053941,0.92323454,0.99628822,0.06044632
"17",165,79,0.29704276,0,0.12553525,1.1209143,0.79053941,0.92323454,0.99628822,0.1042709
"18",166,79,0.41290567,0.09184139,0.1489877,1.1209143,0.79053941,0.92323454,0.99628822,0.06136314
"19",159,77,0.32716263,0.40606838,0.24339773,1.13456733,0.80160356,0.92909449,1.00261185,0.05628677
"20",160,77,0.32943642,0.39297836,0.1173649,1.13456733,0.80160356,0.92909449,1.00261185,0.08941603
"21",161,77,0.20123918,0.39172542,0.11726489,1.13456733,0.80160356,0.92909449,1.00261185,0.05970864
"22",153,78,0.04389149,0,0.36520773,1.1309945,0.79907926,0.92616872,0.99945457,0.0101112
"23",154,78,0.02818196,0.36550602,0.27015567,1.1309945,0.79907926,0.92616872,0.99945457,0
"24",157,78,0.02823297,0.36550602,0.27012627,1.1309945,0.79907926,0.92616872,0.99945457,0.01438715
"25",158,78,0.02888197,0.36946547,0.26892733,1.1309945,0.79907926,0.92616872,0.99945457,0.04941457
"26",159,78,0.02906908,0.372475,0.26812182,1.1309945,0.79907926,0.92616872,0.99945457,0.14777601
"27",160,78,0.49158531,0,0.14294683,1.1309945,0.79907926,0.92616872,0.99945457,0.29190397
"28",161,78,0.47264857,0,0.25017131,1.1309945,0.79907926,0.92616872,0.99945457,0.30153668
"29",152,79,0.09354765,0,0.31359603,1.12741143,0.79654772,0.92323454,0.99628822,0.08215871
"30",153,79,0.02906487,0.36354745,0.2636664,1.12741143,0.79654772,0.92323454,0.99628822,0.01650567
"31",154,79,0.02895316,0.36404881,0.26622381,1.12741143,0.79654772,0.92323454,0.99628822,0.05402357
"32",155,79,0.02897242,0.36400302,0.26581463,1.12741143,0.79654772,0.92323454,0.99628822,0.00395137
