,X,Latitude,Longitude,Crop.productivity,Forest.productivity,Grassland.productivity,Financial.capital,Human.capital,Social.capital,Manufactured.capital,Urban.capital,FR,BT,Region
84,84,83,159,0.219963275,0,0.285656198,0.615562119,0.5878208,0.589214716,0.680367927,0.047223515,IA,0,AT
85,85,83,160,0.215628097,0,0.285656198,0.615562119,0.5878208,0.589214716,0.680367927,0.055772156,IA,0,AT
86,86,83,161,0.212649137,0,0,0.615562119,0.5878208,0.589214716,0.680367927,0.037576254,IA,0,AT
87,87,83,162,0.210383209,0,0.289174383,0.615562119,0.5878208,0.589214716,0.680367927,0.051720992,IA,0,AT
88,88,83,163,0.228487066,0,0,0.615562119,0.5878208,0.589214716,0.680367927,0.061866075,IA,0,AT
89,89,83,164,0.228478269,0,0.294402202,0.615562119,0.5878208,0.589214716,0.680367927,0.05725701,IA,0,AT
90,90,83,165,0.305449113,0.284116025,0.319033063,0.615562119,0.5878208,0.589214716,0.680367927,0.042468548,Mix_Fa,0,AT
91,91,84,153,0.301642033,0.137848222,0.418124154,0.613553401,0.585902608,0.587291976,0.678147734,0.039138962,Int_AF,0,AT
92,92,84,154,0.21888632,0.130061318,0.284827245,0.613553401,0.585902608,0.587291976,0.678147734,0.039079077,IA,0,AT
93,93,84,155,0.213121515,0,0.284827245,0.613553401,0.585902608,0.587291976,0.678147734,0.036238838,IA,0,AT
94,94,84,156,0.212434305,0,0.284827245,0.613553401,0.585902608,0.587291976,0.678147734,0.019539539,IA,0,AT
95,95,84,157,0.207265504,0,0,0.613553401,0.585902608,0.587291976,0.678147734,0.018247739,IA,0,AT
96,96,84,158,0.207813124,0,0.306936848,0.613553401,0.585902608,0.587291976,0.678147734,0.024578413,IA,0,AT
97,97,84,159,0.462206753,0,0.315385982,0.613553401,0.585902608,0.587291976,0.678147734,0.037770168,Mix_Fa,0,AT
98,98,84,160,0.485397939,0,0.309606258,0.613553401,0.585902608,0.587291976,0.678147734,0.040516311,IA,0,AT
99,99,84,162,0.480766713,0,0.307860093,0.613553401,0.585902608,0.587291976,0.678147734,0.049832667,IA,0,AT
100,100,84,163,0.334050583,0,0.496716644,0.613553401,0.585902608,0.587291976,0.678147734,0.049610238,IA,0,AT
101,101,85,154,0.315097715,0.123211412,0,0.611539282,0.583979259,0.585364065,0.67592157,0.021777654,IA,0,AT
102,102,85,155,0.303375592,0.128002403,0.413507923,0.611539282,0.583979259,0.585364065,0.67592157,0.010692709,IA,0,AT
103,103,85,156,0.303271427,0,0.321690809,0.611539282,0.583979259,0.585364065,0.67592157,0.019185482,IA,0,AT
104,104,81,162,0.081927258,0.408994181,0.322893877,0.618402606,0.669399063,0.593044425,0.816198602,0.553528492,P-Ur,0,AT
105,105,71,143,0,0,0.247584641,0.623010848,0.602939103,0.6118804,0.56534008,0.011934693,EP,0,AT
106,106,71,144,0,0,0.244666242,0.623010848,0.602939103,0.6118804,0.56534008,0.01956434,Multifun,0,AT
107,107,71,145,0,0.242699559,0.441892807,0.623010848,0.602939103,0.6118804,0.56534008,0.033451011,MF,0,AT
108,108,71,146,0,0.237804891,0.47035475,0.623010848,0.602939103,0.6118804,0.56534008,0.068283558,MF,0,AT
109,109,71,147,0,0.523602416,0.434440875,0.623010848,0.602939103,0.6118804,0.56534008,0.11988172,Int_AF,0,AT
110,110,71,148,0,0.504279836,0.437030228,0.623010848,0.602939103,0.6118804,0.56534008,0.07962108,Int_AF,0,AT
111,111,71,149,0,0.524960422,0.434440825,0.623010848,0.602939103,0.6118804,0.56534008,0.164705896,Int_AF,0,AT
112,112,71,150,0,0.498575805,0.437415969,0.623010848,0.602939103,0.6118804,0.56534008,0.059548682,Int_AF,0,AT
113,113,71,151,0,0.516740467,0.438976361,0.623010848,0.602939103,0.6118804,0.56534008,0.040055647,MF,0,AT
114,114,71,152,0,0.45734255,0.47035475,0.623010848,0.602939103,0.6118804,0.56534008,0.024145694,MF,0,AT
115,115,72,141,0,0,0.435637039,0.621117099,0.601106367,0.610020485,0.563621632,0.014564229,EP,0,AT
116,116,72,142,0,0,0.250418208,0.621117099,0.601106367,0.610020485,0.563621632,0.010263383,EP,0,AT
117,117,72,143,0,0,0.247690379,0.621117099,0.601106367,0.610020485,0.563621632,0.017052322,EP,0,AT
118,118,72,144,0,0,0.245279611,0.621117099,0.601106367,0.610020485,0.563621632,0.0352154,EP,0,AT
119,119,72,145,0,0.485161766,0.375140011,0.621117099,0.601106367,0.610020485,0.563621632,0.049042088,MF,0,AT
120,120,72,146,0,0,0.252324224,0.621117099,0.601106367,0.610020485,0.563621632,0.036921521,EP,0,AT
121,121,72,147,0,0,0.249933329,0.621117099,0.601106367,0.610020485,0.563621632,0.019273834,EP,0,AT
122,122,72,148,0,0.569916609,0,0.621117099,0.601106367,0.610020485,0.563621632,0.03512654,MF,0,AT
123,123,72,149,0,0.571911662,0,0.621117099,0.601106367,0.610020485,0.563621632,0.01507962,MF,0,AT
124,124,72,150,0,0.579000004,0,0.621117099,0.601106367,0.610020485,0.563621632,0.039542905,MF,0,AT
125,125,72,151,0,0.55259719,0,0.621117099,0.601106367,0.610020485,0.563621632,0.011356367,MF,0,AT
126,126,72,152,0,0.559515437,0,0.621117099,0.601106367,0.610020485,0.563621632,0.031634324,MF,0,AT
127,127,72,153,0,0.533987951,0,0.621117099,0.601106367,0.610020485,0.563621632,0.037241419,MF,0,AT
128,128,73,141,0,0,0.253724642,0.619218086,0.599268535,0.608155398,0.561898406,0.01302255,EP,0,AT
129,129,73,142,0,0,0.249143393,0.619218086,0.599268535,0.608155398,0.561898406,0.006918783,Multifun,0,AT
130,130,73,143,0,0,0.252069911,0.619218086,0.599268535,0.608155398,0.561898406,0.016468654,Multifun,0,AT
131,131,73,144,0,0,0.25739863,0.619218086,0.599268535,0.608155398,0.561898406,0.012623901,Multifun,0,AT
132,132,73,145,0,0,0.249109992,0.619218086,0.599268535,0.608155398,0.561898406,0.01199492,Multifun,0,AT
133,133,73,146,0,0,0.266564413,0.619218086,0.599268535,0.608155398,0.561898406,0.001036489,Multifun,0,AT
134,134,73,147,0,0,0.257206436,0.619218086,0.599268535,0.608155398,0.561898406,0,EP,0,AT
135,135,73,148,0,0,0.252930777,0.619218086,0.599268535,0.608155398,0.561898406,0.001302255,EP,0,AT
136,136,73,149,0,0.569463111,0,0.619218086,0.599268535,0.608155398,0.561898406,0.009886507,MF,0,AT
137,137,73,150,0,0.565597697,0.456178507,0.619218086,0.599268535,0.608155398,0.561898406,0.019728721,MF,0,AT
138,138,73,151,0,0,0.250729331,0.619218086,0.599268535,0.608155398,0.561898406,0.009124644,EP,0,AT
139,139,73,152,0,0,0.251131788,0.619218086,0.599268535,0.608155398,0.561898406,0.019516107,EP,0,AT
140,140,73,153,0,0,0.255451651,0.619218086,0.599268535,0.608155398,0.561898406,0.015538471,EP,0,AT
141,141,74,140,0,0,0,0.617313545,0.597425352,0.606284883,0.560170164,0.000909658,Min_man,0,AT
142,142,72,154,0,0.187047559,0.254713821,0.623504481,0.588361751,0.610020485,0.614781631,0,MF,0,AT
143,143,72,155,0.081677525,0.24998234,0.475374711,0.623504481,0.588361751,0.610020485,0.614781631,0.070333054,IP,0,AT
144,144,72,156,0.078887086,0.254220368,0.474684116,0.623504481,0.588361751,0.610020485,0.614781631,0.023583566,Mix_P,0,AT
145,145,72,157,0.077382016,0.244190283,0.472703803,0.623504481,0.588361751,0.610020485,0.614781631,0.09315242,Mix_P,0,AT
146,146,72,158,0.079157507,0.235970294,0.473943989,0.623504481,0.588361751,0.610020485,0.614781631,0.040875812,Int_AF,0,AT
147,147,72,159,0.080113535,0.237251298,0.471235433,0.623504481,0.588361751,0.610020485,0.614781631,0.041364544,Int_AF,0,AT
148,148,73,154,0,0.185582603,0.253935005,0.621598169,0.586562885,0.608155398,0.612901988,0,MF,0,AT
149,149,73,155,0.082767564,0.245786609,0.474233602,0.621598169,0.586562885,0.608155398,0.612901988,0.049848905,IP,0,AT
150,150,73,156,0.077939499,0.253443111,0.472360942,0.621598169,0.586562885,0.608155398,0.612901988,0.149927645,Int_AF,0,AT
151,151,73,157,0.077752496,0.253443111,0.471618498,0.621598169,0.586562885,0.608155398,0.612901988,0.044294388,Int_AF,0,AT
152,152,73,158,0.079782142,0.253443111,0.472364576,0.621598169,0.586562885,0.608155398,0.612901988,0.022244642,Int_AF,0,AT
153,153,73,159,0.081166481,0.253443111,0.472760114,0.621598169,0.586562885,0.608155398,0.612901988,0.047208959,Int_AF,0,AT
154,154,74,147,0,0,0.297326074,0.619686307,0.584758782,0.606284883,0.611016873,0.009017094,EP,0,AT
155,155,74,148,0,0,0.265999361,0.619686307,0.584758782,0.606284883,0.611016873,0.009705962,EP,0,AT
156,156,74,149,0,0,0.262706876,0.619686307,0.584758782,0.606284883,0.611016873,0.005926024,EP,0,AT
157,157,74,150,0,0,0.272105297,0.619686307,0.584758782,0.606284883,0.611016873,0.016691781,EP,0,AT
158,158,74,151,0,0,0.26443969,0.619686307,0.584758782,0.606284883,0.611016873,0.007683518,EP,0,AT
159,159,74,152,0,0,0.268955932,0.619686307,0.584758782,0.606284883,0.611016873,0.017548449,EP,0,AT
160,160,74,153,0,0,0.268048138,0.619686307,0.584758782,0.606284883,0.611016873,0,EP,0,AT
161,161,74,154,0,0.328138412,0.453713301,0.619686307,0.584758782,0.606284883,0.611016873,0.081021376,Mix_P,0,AT
162,162,74,155,0,0.188985483,0.267325743,0.619686307,0.584758782,0.606284883,0.611016873,0.058279928,Ext_AF,0,AT
163,163,74,156,0.076465728,0.25290065,0.474646509,0.619686307,0.584758782,0.606284883,0.611016873,0.366300695,P-Ur,0,AT
164,164,74,157,0.082844875,0.249399418,0.472358339,0.619686307,0.584758782,0.606284883,0.611016873,0.058765668,Int_AF,0,AT
165,165,74,158,0.0810431,0.252663591,0.470657584,0.619686307,0.584758782,0.606284883,0.611016873,0.046736987,Int_AF,0,AT
166,166,74,159,0.286588194,0,0.330362823,0.619686307,0.584758782,0.606284883,0.611016873,0.025240799,IA,0,AT
167,167,74,160,0.402064425,0.179707804,0.416284373,0.619686307,0.584758782,0.606284883,0.611016873,0.058377076,IA,0,AT
168,168,75,147,0,0,0.271552983,0.61776916,0.582949692,0.604409197,0.609126547,0.000228912,Multifun,0,AT
169,169,75,148,0,0,0.261581716,0.61776916,0.582949692,0.604409197,0.609126547,0.007017033,EP,0,AT
170,170,75,149,0,0,0.266382746,0.61776916,0.582949692,0.604409197,0.609126547,0.006832143,EP,0,AT
171,171,75,150,0,0,0.271422625,0.61776916,0.582949692,0.604409197,0.609126547,0.011560056,EP,0,AT
172,172,75,151,0,0,0.270351365,0.61776916,0.582949692,0.604409197,0.609126547,0.021209577,EP,0,AT
173,173,75,152,0,0,0.272361153,0.61776916,0.582949692,0.604409197,0.609126547,0.093404898,EP,0,AT
174,174,75,153,0,0.355584719,0.448732531,0.61776916,0.582949692,0.604409197,0.609126547,0.032470286,IP,0,AT
175,175,75,154,0,0,0.267049179,0.61776916,0.582949692,0.604409197,0.609126547,0.00165521,EP,0,AT
176,176,75,155,0,0.376446678,0.45804058,0.61776916,0.582949692,0.604409197,0.609126547,0.026298466,Mix_P,0,AT
177,177,75,156,0,0.327123238,0.458105586,0.61776916,0.582949692,0.604409197,0.609126547,0.031360943,Mix_P,0,AT
178,178,75,157,0,0.178550664,0.274349568,0.61776916,0.582949692,0.604409197,0.609126547,0.039619384,MF,0,AT
179,179,75,158,0.083275521,0.246959338,0.471313044,0.61776916,0.582949692,0.604409197,0.609126547,0.03070062,IP,0,AT
180,180,75,159,0,0.175638643,0,0.61776916,0.582949692,0.604409197,0.609126547,0.030665403,MF,0,AT
181,181,76,146,0,0,0.262956754,0.615846464,0.581135365,0.602528081,0.60723075,0.015587784,Multifun,0,AT
182,182,76,147,0,0,0.266708846,0.615846464,0.581135365,0.602528081,0.60723075,0.0118576,Multifun,0,AT
183,183,76,148,0,0,0.263472174,0.615846464,0.581135365,0.602528081,0.60723075,0.003932054,Multifun,0,AT
184,184,76,149,0,0,0.261710939,0.615846464,0.581135365,0.602528081,0.60723075,0,Multifun,0,AT
185,185,76,150,0,0,0.25968911,0.615846464,0.581135365,0.602528081,0.60723075,0.006679225,Multifun,0,AT
186,186,76,151,0,0,0.259505402,0.615846464,0.581135365,0.602528081,0.60723075,0.003554647,Multifun,0,AT
187,187,76,152,0,0,0.265346001,0.615846464,0.581135365,0.602528081,0.60723075,0.008285399,Multifun,0,AT
188,188,76,153,0,0,0.271881733,0.615846464,0.581135365,0.602528081,0.60723075,0.031675852,EP,0,AT
189,189,76,154,0,0.326105125,0.448303249,0.615846464,0.581135365,0.602528081,0.60723075,0.086917705,IP,0,AT
190,190,76,155,0,0.340347342,0.448472508,0.615846464,0.581135365,0.602528081,0.60723075,0.072900978,IP,0,AT
191,191,76,156,0,0.326105125,0.449258188,0.615846464,0.581135365,0.602528081,0.60723075,0.050827061,IP,0,AT
192,192,76,157,0,0.382141749,0.275731819,0.615846464,0.581135365,0.602528081,0.60723075,0.002966594,MF,0,AT
193,193,76,158,0,0.497879623,0.263276728,0.615846464,0.581135365,0.602528081,0.60723075,0.015500015,MF,0,AT
194,194,76,159,0.081482976,0.231095868,0.470664051,0.615846464,0.581135365,0.602528081,0.60723075,0.017703019,Multifun,0,AT
195,195,76,160,0,0.20143141,0,0.615846464,0.581135365,0.602528081,0.60723075,0.052696542,MF,0,AT
196,196,77,146,0,0,0.269847312,0.613918483,0.579316051,0.600641795,0.605329741,0.026589513,Multifun,0,AT
197,197,77,147,0,0,0.270099372,0.613918483,0.579316051,0.600641795,0.605329741,0.012564179,Multifun,0,AT
198,198,77,148,0,0,0.267068748,0.613918483,0.579316051,0.600641795,0.605329741,0.026397026,Multifun,0,AT
199,199,77,149,0,0,0.258698889,0.613918483,0.579316051,0.600641795,0.605329741,0.03031677,Multifun,0,AT
200,200,77,150,0,0,0.266460696,0.613918483,0.579316051,0.600641795,0.605329741,0.029809303,Multifun,0,AT
201,201,77,151,0,0,0.275048349,0.613918483,0.579316051,0.600641795,0.605329741,0.000227485,Multifun,0,AT
202,202,77,152,0,0,0.257351813,0.613918483,0.579316051,0.600641795,0.605329741,0.00535465,EP,0,AT
203,203,77,153,0,0,0.258822682,0.613918483,0.579316051,0.600641795,0.605329741,0.038418741,Multifun,0,AT
204,204,77,154,0,0,0.258413151,0.613918483,0.579316051,0.600641795,0.605329741,0.003149794,Multifun,0,AT
205,205,77,155,0,0,0.265406831,0.613918483,0.579316051,0.600641795,0.605329741,0.013614111,EP,0,AT
206,206,77,156,0,0.459926153,0.271934934,0.613918483,0.579316051,0.600641795,0.605329741,0.020342421,MF,0,AT
207,207,77,157,0,0.439229529,0.269857243,0.613918483,0.579316051,0.600641795,0.605329741,0.051490387,MF,0,AT
208,208,77,158,0,0.488381677,0.262452508,0.613918483,0.579316051,0.600641795,0.605329741,0.030999225,MF,0,AT
209,209,78,152,0,0.110513144,0.490257573,0.625524137,0.597333863,0.598750338,0.691378737,0.004456879,EP,0,AT
210,210,78,155,0,0.097134996,0.283700686,0.611985217,0.57749175,0.598750338,0.603423522,0.012611833,MF,0,AT
211,211,78,156,0,0.095747541,0.305855079,0.611985217,0.57749175,0.598750338,0.603423522,0.001360613,MF,0,AT
212,212,77,145,0,0,0.248844838,0.620839921,0.597922707,0.600641795,0.754753288,0.032539125,Multifun,0,AT
213,213,78,145,0,0.174828721,0.450623168,0.618884859,0.596039812,0.598750338,0.752376525,0.040286345,Int_AF,0,AT
214,214,78,146,0,0,0.244715155,0.618884859,0.596039812,0.598750338,0.752376525,0.021673862,Multifun,0,AT
215,215,78,147,0,0,0.236228695,0.618884859,0.596039812,0.598750338,0.752376525,0,Multifun,0,AT
216,216,78,148,0,0,0.232796923,0.618884859,0.596039812,0.598750338,0.752376525,0.003959732,Multifun,0,AT
217,217,78,149,0,0,0.240048614,0.618884859,0.596039812,0.598750338,0.752376525,0.004823197,Multifun,0,AT
218,218,78,150,0,0,0.240898715,0.618884859,0.596039812,0.598750338,0.752376525,0.000898353,Multifun,0,AT
219,219,78,151,0,0.110513144,0.471224531,0.618884859,0.596039812,0.598750338,0.752376525,0.013327027,Int_AF,0,AT
220,220,79,144,0.048714911,0.537297435,0.451456586,0.616924185,0.594151513,0.596853452,0.749992939,0.031447082,Mix_P,0,AT
221,221,79,145,0.048984296,0.537297517,0.448380786,0.616924185,0.594151513,0.596853452,0.749992939,0.053513075,Mix_P,0,AT
222,222,79,146,0.049105405,0.537297517,0.450367745,0.616924185,0.594151513,0.596853452,0.749992939,0.084655858,Mix_P,0,AT
223,223,79,147,0.050007157,0.537297517,0.455586102,0.616924185,0.594151513,0.596853452,0.749992939,0.029603902,Mix_P,0,AT
224,224,79,148,0.0482885,0.537297517,0.45163832,0.616924185,0.594151513,0.596853452,0.749992939,0.037289614,Mix_P,0,AT
225,225,79,149,0.113258878,0.24894424,0.446206621,0.616924185,0.594151513,0.596853452,0.749992939,0.022813697,MF,0,AT
226,226,79,150,0.113769724,0.248976029,0.454918913,0.616924185,0.594151513,0.596853452,0.749992939,0.010094018,MF,0,AT
