"","x","y","Crop.productivity","Forest.productivity","Grassland.productivity","Financial.capital","Human.capital","Social.capital","Manufactured.capital","Urban.capital"
"1",160,73,0.67332231,0,0.32093966,0.64235337,0.57812458,0.60335188,0.68931788,0.02507086
"2",161,74,0.47881555,0,0.31985894,0.64037767,0.57634643,0.60149614,0.68719773,0.03065457
"3",162,74,0.4755721,0,0.31971774,0.64037767,0.57634643,0.60149614,0.68719773,0.02259322
"4",160,75,0.69170773,0,0.31896269,0.63593472,0.58057226,0.59963526,0.6212173,0.06998443
"5",161,75,0.48744615,0,0.31885928,0.63839651,0.57456337,0.59963526,0.68507172,0.06521248
"6",162,75,0.48386956,0,0.33785519,0.63839651,0.57456337,0.59963526,0.68507172,0.03986565
"7",161,76,0,0.24962868,0,0.63640961,0.57277514,0.59776901,0.68293956,0.03385539
"8",162,76,0.6166963,0,0.34104577,0.63640961,0.57277514,0.59776901,0.68293956,0.02791073
"9",162,77,0.64571467,0,0.01741411,0.63441726,0.570982,0.59589762,0.68080154,0.06532676
"10",163,77,0.54953603,0,0.3226252,0.63441726,0.570982,0.59589762,0.68080154,0.04646109
"11",162,78,0.59799234,0,0.32675943,0.63241944,0.56918394,0.5940211,0.67865765,0.07741731
"12",163,78,0.54653572,0,0.32675943,0.39183891,0.54309588,0.48277022,0.58154748,0.10956752
"13",164,78,0.45700161,0,0.32100059,0.63241944,0.56918394,0.5940211,0.67865765,0.01222721
"14",165,78,0.47107257,0,0.32747465,0.63241944,0.56918394,0.5940211,0.67865765,0.02667188
"15",163,79,0.60018277,0,0.32176312,0.64130787,0.59261504,0.5921392,0.69820545,0.08104947
"16",164,79,0.61164394,0,0.31754192,0.63041589,0.56738073,0.5921392,0.67650761,0.0283636
"17",165,79,0.62500735,0,0,0.63041589,0.56738073,0.5921392,0.67650761,0.05537553
"18",166,79,0.51547012,0,0.30134269,0.63041589,0.56738073,0.5921392,0.67650761,0.03859795
"19",159,77,0.01118036,0.25911292,0,0.64537838,0.59637648,0.59589762,0.7026371,0.0223698
"20",160,77,0,0.2614726,0,0.64537838,0.59637648,0.59589762,0.7026371,0.04125785
"21",161,77,0,0.26111548,0,0.64537838,0.59637648,0.59589762,0.7026371,0.0253785
"22",153,78,0,0,0,0.64334604,0.59449845,0.5940211,0.70042445,0.00390458
"23",154,78,0,0.16275279,0,0.64334604,0.59449845,0.5940211,0.70042445,0
"24",157,78,0,0.16275279,0,0.64334604,0.59449845,0.5940211,0.70042445,0.0064965
"25",158,78,0,0.17340853,0,0.64334604,0.59449845,0.5940211,0.70042445,0.02238982
"26",159,78,0,0.18150795,0,0.64334604,0.59449845,0.5940211,0.70042445,0.07557174
"27",160,78,0.52990886,0,0.3397537,0.64334604,0.59449845,0.5940211,0.70042445,0.1682259
"28",161,78,0.63927938,0,0.33691763,0.64334604,0.59449845,0.5940211,0.70042445,0.18808754
"29",152,79,0,0.40413454,0.3499823,0.64130787,0.59261504,0.5921392,0.69820545,0.04585832
"30",153,79,0,0.17300037,0,0.64130787,0.59261504,0.5921392,0.69820545,0.00627783
"31",154,79,0,0.16617767,0,0.64130787,0.59261504,0.5921392,0.69820545,0.02388531
"32",155,79,0,0.16694904,0,0.64130787,0.59261504,0.5921392,0.69820545,0.00166411
"33",156,79,0,0.16223718,0,0.64130787,0.59261504,0.5921392,0.69820545,0.01026119
"34",157,79,0,0.17369739,0,0.64130787,0.59261504,0.5921392,0.69820545,0.01968029
"35",158,79,0,0.16223718,0,0.64130787,0.59261504,0.5921392,0.69820545,0.00866967
"36",159,79,0,0.18781814,0.30173499,0.64130787,0.59261504,0.5921392,0.69820545,0.02222986
"37",160,79,0.56212255,0,0.361984,0.64130787,0.59261504,0.5921392,0.69820545,0.09892442
"38",161,79,0.59260711,0,0.33435131,0.64130787,0.59261504,0.5921392,0.69820545,0.32305108
"39",162,79,0.65690014,0,0.35077997,0.64130787,0.59261504,0.5921392,0.69820545,0.12357503
"40",151,80,0,0.40261632,0,0.63926443,0.59072674,0.59025242,0.69598071,0.03532795
"41",152,80,0,0.23775988,0,0.63926443,0.59072674,0.59025242,0.69598071,0.07367282
"42",153,80,0,0.23623362,0,0.63926443,0.59072674,0.59025242,0.69598071,0.0572119
"43",154,80,0.53406331,0,0.35966567,0.63926443,0.59072674,0.59025242,0.69598071,0.05452783
"44",155,80,0.68022342,0,0.36096582,0.63926443,0.59072674,0.59025242,0.69598071,0.01405356
"45",156,80,0.67378053,0,0.35815075,0.63926443,0.59072674,0.59025242,0.69598071,0.02903696
"46",157,80,0.52279303,0,0.33759823,0.63926443,0.59072674,0.59025242,0.69598071,0.08539303
"47",158,80,0.54267733,0,0.33756128,0.63926443,0.59072674,0.59025242,0.69598071,0.04566153
"48",159,80,0,0.19674064,0,0.63926443,0.59072674,0.59025242,0.69598071,0.04203894
"49",160,80,0.53591148,0,0.35432071,0.63926443,0.59072674,0.59025242,0.69598071,0.04840467
"50",161,80,0.6583596,0,0.34966226,0.63926443,0.59072674,0.59025242,0.69598071,0.38836035
"51",162,80,0.65400171,0,0.34966226,0.63926443,0.59072674,0.59025242,0.69598071,0.28612332
"52",163,80,0.6574153,0,0.34966226,0.63926443,0.59072674,0.59025242,0.69598071,0.13593004
"53",164,80,0.65596655,0,0.33709442,0.63926443,0.59072674,0.59025242,0.69598071,0.07472444
"54",165,80,0.64969107,0,0.33709442,0.63926443,0.59072674,0.59025242,0.69598071,0.06353606
"55",154,81,0,0.25437151,0,0.63721515,0.58883306,0.58836026,0.69374962,0.03720512
"56",155,81,0.65027879,0,0.3564874,0.63721515,0.58883306,0.58836026,0.69374962,0.05308639
"57",156,81,0.64980825,0,0.34097124,0.63721515,0.58883306,0.58836026,0.69374962,0.04074616
"58",157,81,0.64767044,0,0,0.63721515,0.58883306,0.58836026,0.69374962,0.10943954
"59",158,81,0.57846832,0,0,0.63721515,0.58883306,0.58836026,0.69374962,0.09313382
"60",159,81,0.59081676,0,0.3430282,0.63721515,0.58883306,0.58836026,0.69374962,0.12991055
"61",160,81,0.60099449,0,0.34549229,0.63721515,0.58883306,0.58836026,0.69374962,0.19361507
"62",161,81,0.58718628,0,0.34454003,0.63721515,0.58883306,0.58836026,0.69374962,0.33835485
"63",163,81,0.65097503,0,0.34854135,0.63721515,0.58883306,0.58836026,0.69374962,0.16648522
"64",164,81,0.63556274,0,0.3485413,0.63721515,0.58883306,0.58836026,0.69374962,0.07924475
"65",165,81,0.54323664,0,0.3485413,0.63721515,0.58883306,0.58836026,0.69374962,0.04925628
"66",154,82,0,0.24477286,0,0.63516031,0.58693424,0.58646296,0.69151247,0.00768831
"67",155,82,0,0.25681862,0,0.63516031,0.58693424,0.58646296,0.69151247,0.02109413
"68",156,82,0.30575229,0.18277475,0.29898346,0.63516031,0.58693424,0.58646296,0.69151247,0.02596882
"69",157,82,0.64212749,0,0.35533788,0.63516031,0.58693424,0.58646296,0.69151247,0.09098258
"70",158,82,0.60366552,0,0,0.63516031,0.58693424,0.58646296,0.69151247,0.0878759
"71",159,82,0.61214342,0,0.33493026,0.63516031,0.58693424,0.58646296,0.69151247,0.07488825
"72",160,82,0.61651526,0,0.33493026,0.63516031,0.58693424,0.58646296,0.69151247,0.07260724
"73",161,82,0.61705944,0,0.34741736,0.63516031,0.58693424,0.58646296,0.69151247,0.13618156
"74",162,82,0.60440702,0,0,0.63516031,0.58693424,0.58646296,0.69151247,0.12342311
"75",163,82,0.60987805,0,0,0.63516031,0.58693424,0.58646296,0.69151247,0.10709807
"76",164,82,0.6279964,0,0.3474174,0.63516031,0.58693424,0.58646296,0.69151247,0.09359378
"77",152,83,0.41143422,0.23897603,0.25739345,0.63310019,0.58503055,0.5845608,0.68926958,0.00875864
"78",153,83,0.41062487,0.23951144,0.2560168,0.63310019,0.58503055,0.5845608,0.68926958,0.01040902
"79",154,83,0,0.23368978,0,0.63310019,0.58503055,0.5845608,0.68926958,0.02843718
"80",155,83,0.30210272,0.18218193,0.29801372,0.63310019,0.58503055,0.5845608,0.68926958,0.0328512
"81",156,83,0.30852488,0.18218193,0.2991661,0.63310019,0.58503055,0.5845608,0.68926958,0.02646635
"82",157,83,0.63771479,0,0.35418535,0.63310019,0.58503055,0.5845608,0.68926958,0.02733871
"83",158,83,0.50507593,0,0.27838736,0.63310019,0.58503055,0.5845608,0.68926958,0.04878283
"84",159,83,0.52957063,0,0.28372915,0.63310019,0.58503055,0.5845608,0.68926958,0.07115875
"85",160,83,0.52306195,0,0,0.63310019,0.58503055,0.5845608,0.68926958,0.08332225
"86",161,83,0.51803669,0,0,0.63310019,0.58503055,0.5845608,0.68926958,0.05623467
"87",162,83,0.51436636,0,0,0.63310019,0.58503055,0.5845608,0.68926958,0.079091
"88",163,83,0.62497257,0,0,0.63310019,0.58503055,0.5845608,0.68926958,0.09368313
"89",164,83,0.61581534,0,0.34629057,0.63310019,0.58503055,0.5845608,0.68926958,0.08572819
"90",165,83,0.53889338,0,0.34629057,0.63310019,0.58503055,0.5845608,0.68926958,0.056807
"91",153,84,0.29452661,0.18158743,0.29818986,0.63103425,0.58312146,0.58265324,0.68702034,0.05080764
"92",154,84,0.30630455,0.18158743,0.29704119,0.63103425,0.58312146,0.58265324,0.68702034,0.04937148
"93",155,84,0.29854614,0,0.29778014,0.63103425,0.58312146,0.58265324,0.68702034,0.04480049
"94",156,84,0.2980367,0,0.28457355,0.63103425,0.58312146,0.58265324,0.68702034,0.02598943
"95",157,84,0.50630011,0,0,0.63103425,0.58312146,0.58265324,0.68702034,0.02561413
"96",158,84,0.5074226,0,0.26475348,0.63103425,0.58312146,0.58265324,0.68702034,0.0353626
"97",159,84,0.51945602,0,0.27601079,0.63103425,0.58312146,0.58265324,0.68702034,0.05484973
"98",160,84,0.53486525,0,0.27277874,0.63103425,0.58312146,0.58265324,0.68702034,0.0556401
"99",162,84,0.53392474,0,0.26988032,0.63103425,0.58312146,0.58265324,0.68702034,0.06725692
"100",163,84,0.55835063,0,0.28656368,0.63103425,0.58312146,0.58265324,0.68702034,0.06797838
"101",154,85,0.30679117,0.18099133,0,0.62896274,0.58120724,0.58074056,0.68476505,0.02597926
"102",155,85,0.30371154,0.18099133,0.29697522,0.62896274,0.58120724,0.58074056,0.68476505,0.01279335
"103",156,85,0.50565359,0,0.27690188,0.62896274,0.58120724,0.58074056,0.68476505,0.02305459
"104",162,81,0.61375977,0,0.33601237,0.63606757,0.66552258,0.58836026,0.82078132,0.57753126
"105",143,71,0,0,0,0.641432,0.60045,0.60704746,0.57928722,0.01784542
"106",144,71,0,0,0,0.641432,0.60045,0.60704746,0.57928722,0.02963341
"107",145,71,0,0.29286397,0,0.641432,0.60045,0.60704746,0.57928722,0.04894694
"108",146,71,0,0.29042375,0,0.641432,0.60045,0.60704746,0.57928722,0.09997134
"109",147,71,0,0.60484132,0,0.641432,0.60045,0.60704746,0.57928722,0.17172566
"110",148,71,0,0.58181919,0,0.641432,0.60045,0.60704746,0.57928722,0.12509685
"111",149,71,0,0.60940327,0,0.641432,0.60045,0.60704746,0.57928722,0.22176488
"112",150,71,0,0.58459652,0,0.641432,0.60045,0.60704746,0.57928722,0.08637438
"113",151,71,0,0.60361301,0,0.641432,0.60045,0.60704746,0.57928722,0.06111828
"114",152,71,0,0.53931498,0,0.641432,0.60045,0.60704746,0.57928722,0.04119672
"115",141,72,0,0,0,0.63948225,0.59862483,0.60520223,0.57752638,0.02246932
"116",142,72,0,0,0,0.63948225,0.59862483,0.60520223,0.57752638,0.01772087
"117",143,72,0,0,0,0.63948225,0.59862483,0.60520223,0.57752638,0.02887817
"118",144,72,0,0,0,0.63948225,0.59862483,0.60520223,0.57752638,0.05212861
"119",145,72,0,0.55973831,0,0.63948225,0.59862483,0.60520223,0.57752638,0.07323632
"120",146,72,0,0,0,0.63948225,0.59862483,0.60520223,0.57752638,0.06200162
"121",147,72,0,0,0,0.63948225,0.59862483,0.60520223,0.57752638,0.02938866
"122",148,72,0,0.65161918,0,0.63948225,0.59862483,0.60520223,0.57752638,0.05201614
"123",149,72,0,0.65196816,0,0.63948225,0.59862483,0.60520223,0.57752638,0.02524162
"124",150,72,0,0.6690633,0,0.63948225,0.59862483,0.60520223,0.57752638,0.06107589
"125",151,72,0,0.63895492,0,0.63948225,0.59862483,0.60520223,0.57752638,0.01914342
"126",152,72,0,0.63936063,0,0.63948225,0.59862483,0.60520223,0.57752638,0.04863864
"127",153,72,0,0.61733082,0,0.63948225,0.59862483,0.60520223,0.57752638,0.05455927
"128",141,73,0,0,0,0.63752709,0.59679458,0.60335188,0.57576064,0.02243372
"129",142,73,0,0,0,0.63752709,0.59679458,0.60335188,0.57576064,0.01201052
"130",143,73,0,0,0,0.63752709,0.59679458,0.60335188,0.57576064,0.02713862
"131",144,73,0,0,0,0.63752709,0.59679458,0.60335188,0.57576064,0.02025871
"132",145,73,0,0,0,0.63752709,0.59679458,0.60335188,0.57576064,0.0203035
"133",146,73,0,0,0,0.63752709,0.59679458,0.60335188,0.57576064,0.00189588
"134",147,73,0,0,0,0.63752709,0.59679458,0.60335188,0.57576064,0
"135",148,73,0,0,0,0.63752709,0.59679458,0.60335188,0.57576064,0.00235581
"136",149,73,0,0.64869621,0,0.63752709,0.59679458,0.60335188,0.57576064,0.01740853
"137",150,73,0,0.64872706,0,0.63752709,0.59679458,0.60335188,0.57576064,0.03033074
"138",151,73,0,0,0,0.63752709,0.59679458,0.60335188,0.57576064,0.01539903
"139",152,73,0,0,0,0.63752709,0.59679458,0.60335188,0.57576064,0.03193562
"140",153,73,0,0,0,0.63752709,0.59679458,0.60335188,0.57576064,0.0219851
"141",140,74,0,0,0,0.63556624,0.59495901,0.60149614,0.57398976,0.00165201
"142",154,72,0,0.24819367,0,0.64183869,0.58596225,0.60520223,0.62698464,0
"143",155,72,0,0.39587724,0,0.64183869,0.58596225,0.60520223,0.62698464,0.10480709
"144",156,72,0,0.41266244,0,0.64183869,0.58596225,0.60520223,0.62698464,0.03996617
"145",157,72,0,0.38322592,0,0.64183869,0.58596225,0.60520223,0.62698464,0.14156331
"146",158,72,0,0.34011306,0,0.64183869,0.58596225,0.60520223,0.62698464,0.06979485
"147",159,72,0,0.33811493,0,0.64183869,0.58596225,0.60520223,0.62698464,0.0629741
"148",154,73,0,0.24610727,0,0.63987632,0.58417072,0.60335188,0.62506768,0
"149",155,73,0,0.38107666,0,0.63987632,0.58417072,0.60335188,0.62506768,0.07769281
"150",156,73,0,0.41140076,0,0.63987632,0.58417072,0.60335188,0.62506768,0.22077827
"151",157,73,0,0.41140076,0,0.63987632,0.58417072,0.60335188,0.62506768,0.06818837
"152",158,73,0,0.41140076,0,0.63987632,0.58417072,0.60335188,0.62506768,0.03788466
"153",159,73,0,0.41140076,0,0.63987632,0.58417072,0.60335188,0.62506768,0.07343276
"154",147,74,0,0,0,0.63790824,0.58237397,0.60149614,0.62314515,0.01658179
"155",148,74,0,0,0,0.63790824,0.58237397,0.60149614,0.62314515,0.0166567
"156",149,74,0,0,0,0.63790824,0.58237397,0.60149614,0.62314515,0.00905007
"157",150,74,0,0,0,0.63790824,0.58237397,0.60149614,0.62314515,0.02673769
"158",151,74,0,0,0,0.63790824,0.58237397,0.60149614,0.62314515,0.01238198
"159",152,74,0,0,0,0.63790824,0.58237397,0.60149614,0.62314515,0.0270054
"160",153,74,0,0,0,0.63790824,0.58237397,0.60149614,0.62314515,0
"161",154,74,0,0.4270129,0,0.63790824,0.58237397,0.60149614,0.62314515,0.11165133
"162",155,74,0,0.31233788,0,0.63790824,0.58237397,0.60149614,0.62314515,0.0892144
"163",156,74,0,0.41049758,0.37539856,0.63790824,0.58237397,0.60149614,0.62314515,0.42471236
"164",157,74,0,0.39720719,0,0.63790824,0.58237397,0.60149614,0.62314515,0.09429063
"165",158,74,0,0.41013541,0,0.63790824,0.58237397,0.60149614,0.62314515,0.07592568
"166",159,74,0.66025475,0,0.34342309,0.63790824,0.58237397,0.60149614,0.62314515,0.04283295
"167",160,74,0.70611124,0,0.34342305,0.63790824,0.58237397,0.60149614,0.62314515,0.08681862
"168",147,75,0,0,0,0.63593472,0.58057226,0.59963526,0.6212173,0.00022891
"169",148,75,0,0,0,0.63593472,0.58057226,0.59963526,0.6212173,0.01203029
"170",149,75,0,0,0,0.63593472,0.58057226,0.59963526,0.6212173,0.0113571
"171",150,75,0,0,0,0.63593472,0.58057226,0.59963526,0.6212173,0.01996654
"172",151,75,0,0,0,0.63593472,0.58057226,0.59963526,0.6212173,0.03212819
"173",152,75,0,0,0,0.63593472,0.58057226,0.59963526,0.6212173,0.13235302
"174",153,75,0,0.46211295,0,0.63593472,0.58057226,0.59963526,0.6212173,0.05132357
"175",154,75,0,0,0,0.63593472,0.58057226,0.59963526,0.6212173,0.00283875
"176",155,75,0,0.48880938,0,0.63593472,0.58057226,0.59963526,0.6212173,0.04089392
"177",156,75,0,0.42569191,0,0.63593472,0.58057226,0.59963526,0.6212173,0.05042318
"178",157,75,0,0.29806677,0,0.63593472,0.58057226,0.59963526,0.6212173,0.05664737
"179",158,75,0,0.38937022,0,0.63593472,0.58057226,0.59963526,0.6212173,0.05107311
"180",159,75,0.01125049,0.23440409,0,0.63593472,0.58057226,0.59963526,0.6212173,0.04708187
"181",146,76,0,0,0,0.63395549,0.57876533,0.59776901,0.61928388,0.02526224
"182",147,76,0,0,0,0.63395549,0.57876533,0.59776901,0.61928388,0.02036225
"183",148,76,0,0,0,0.63395549,0.57876533,0.59776901,0.61928388,0.00656056
"184",149,76,0,0,0,0.63395549,0.57876533,0.59776901,0.61928388,0
"185",150,76,0,0,0,0.63395549,0.57876533,0.59776901,0.61928388,0.0101687
"186",151,76,0,0,0,0.63395549,0.57876533,0.59776901,0.61928388,0.00649107
"187",152,76,0,0,0,0.63395549,0.57876533,0.59776901,0.61928388,0.0135859
"188",153,76,0,0,0,0.63395549,0.57876533,0.59776901,0.61928388,0.05475849
"189",154,76,0,0.42436702,0,0.63395549,0.57876533,0.59776901,0.61928388,0.11969925
"190",155,76,0,0.44259224,0,0.63395549,0.57876533,0.59776901,0.61928388,0.1032906
"191",156,76,0,0.42436702,0,0.63395549,0.57876533,0.59776901,0.61928388,0.07715511
"192",157,76,0,0.5773544,0,0.63395549,0.57876533,0.59776901,0.61928388,0.00521186
"193",158,76,0,0.73624197,0,0.63395549,0.57876533,0.59776901,0.61928388,0.02555097
"194",159,76,0,0.32837341,0,0.63395549,0.57876533,0.59776901,0.61928388,0.0276358
"195",160,76,0.01121547,0.24916244,0,0.63395549,0.57876533,0.59776901,0.61928388,0.06785769
"196",146,77,0,0,0,0.63197081,0.57695344,0.59589762,0.61734513,0.04339933
"197",147,77,0,0,0,0.63197081,0.57695344,0.59589762,0.61734513,0.02116867
"198",148,77,0,0,0,0.63197081,0.57695344,0.59589762,0.61734513,0.044163
"199",149,77,0,0,0,0.63197081,0.57695344,0.59589762,0.61734513,0.04745343
"200",150,77,0,0,0,0.63197081,0.57695344,0.59589762,0.61734513,0.04840376
"201",151,77,0,0,0,0.63197081,0.57695344,0.59589762,0.61734513,0.00040254
"202",152,77,0,0,0,0.63197081,0.57695344,0.59589762,0.61734513,0.00952778
"203",153,77,0,0,0,0.63197081,0.57695344,0.59589762,0.61734513,0.04976008
"204",154,77,0,0,0,0.63197081,0.57695344,0.59589762,0.61734513,0.00546162
"205",155,77,0,0,0,0.63197081,0.57695344,0.59589762,0.61734513,0.02264205
"206",156,77,0,0.68357073,0,0.63197081,0.57695344,0.59589762,0.61734513,0.03162996
"207",157,77,0,0.65640461,0,0.63197081,0.57695344,0.59589762,0.61734513,0.07595829
"208",158,77,0,0.72307532,0,0.63197081,0.57695344,0.59589762,0.61734513,0.04881342
"209",152,78,0,0.15116542,0,0.64334604,0.59449845,0.5940211,0.70042445,0.00586691
"210",155,78,0,0.18719507,0,0.6299807,0.57513658,0.5940211,0.61540108,0.01947341
"211",156,78,0,0.18731694,0,0.6299807,0.57513658,0.5940211,0.61540108,0.00244989
"212",145,77,0,0,0,0.63880083,0.59537259,0.59589762,0.7617879,0.05144442
"213",145,78,0,0.22348641,0,0.63678921,0.59349772,0.5940211,0.75938898,0.06077968
"214",146,78,0,0,0,0.63678921,0.59349772,0.5940211,0.75938898,0.03121663
"215",147,78,0,0,0,0.63678921,0.59349772,0.5940211,0.75938898,0
"216",148,78,0,0,0,0.63678921,0.59349772,0.5940211,0.75938898,0.00701981
"217",149,78,0,0,0,0.63678921,0.59349772,0.5940211,0.75938898,0.0068362
"218",150,78,0,0,0,0.63678921,0.59349772,0.5940211,0.75938898,0.00172728
"219",151,78,0,0.15116542,0,0.63678921,0.59349772,0.5940211,0.75938898,0.02297888
"220",144,79,0,0.77193379,0.4246321,0.63477182,0.59161748,0.5921392,0.75698318,0.05051608
"221",145,79,0,0.77193379,0,0.63477182,0.59161748,0.5921392,0.75698318,0.08438605
"222",146,79,0,0.77193379,0,0.63477182,0.59161748,0.5921392,0.75698318,0.12367058
"223",147,79,0,0.77193379,0,0.63477182,0.59161748,0.5921392,0.75698318,0.0529195
"224",148,79,0,0.77193379,0,0.63477182,0.59161748,0.5921392,0.75698318,0.05998187
"225",149,79,0,0.40407777,0.3236787,0.63477182,0.59161748,0.5921392,0.75698318,0.03883745
"226",150,79,0,0.40412644,0.33157398,0.63477182,0.59161748,0.5921392,0.75698318,0.01723476
"227",151,79,0,0.40412438,0.33567777,0.63477182,0.59161748,0.5921392,0.75698318,0.01840423
"228",141,80,0.11404085,0.4446641,0.53278713,0.6327492,0.58973236,0.59025242,0.75457115,0.01727025
