"","x","y","Crop.productivity","Forest.productivity","Grassland.productivity","Financial.capital","Human.capital","Social.capital","Manufactured.capital","Urban.capital"
"1",160,73,0.66268022,0,0.08929221,1.29209381,0.5062106,0.46404975,1.04178305,0.03843609
"2",161,74,0.62268217,0,0.08845595,1.28811969,0.50465364,0.46262247,1.03857882,0.0469941
"3",162,74,0.6300553,0,0.08760874,1.28811969,0.50465364,0.46262247,1.03857882,0.028492
"4",160,75,0.67720235,0,0.08874217,1.28384548,0.51162675,0.46119123,1.03536573,0.11452694
"5",161,75,0.61886318,0,0.08812169,1.28413458,0.50309238,0.46119123,1.03536573,0.09491787
"6",162,75,0.64277128,0,0.0876072,1.28413458,0.50309238,0.46119123,1.03536573,0.04775329
"7",161,76,0,0.42903141,0,1.28013794,0.50152659,0.45975586,1.03214334,0.05078617
"8",162,76,0.62740883,0,0.10481278,1.28013794,0.50152659,0.45975586,1.03214334,0.03510966
"9",162,77,0.67426375,0,0.10448465,1.27613032,0.4999565,0.45831654,1.02891209,0.09725009
"10",163,77,0.45708832,0,0.08200387,1.27613032,0.4999565,0.45831654,1.02891209,0.06405669
"11",162,78,0.56537378,0,0.08310307,1.27211171,0.49838211,0.45687327,1.02567199,0.13956905
"12",163,78,0.46913771,0,0.08310307,1.24511198,0.37872554,0.39270945,0.99080705,0.15034283
"13",164,78,0.07575383,0,0.09536502,1.27211171,0.49838211,0.45687327,1.02567199,0.0185085
"14",165,78,0.54159957,0,0.08289129,1.27211171,0.49838211,0.45687327,1.02567199,0.04107364
"15",163,79,0.57199923,0,0.08921208,1.26945712,0.51064867,0.45542586,1.02242258,0.13313516
"16",164,79,0.51794996,0,0.08041289,1.26808156,0.4968032,0.45542586,1.02242258,0.05148907
"17",165,79,0.52875318,0,0,1.26808156,0.4968032,0.45542586,1.02242258,0.09089367
"18",166,79,0.1499347,0,0,1.26808156,0.4968032,0.45542586,1.02242258,0.05472898
"19",159,77,0.06708217,0.42757849,0,1.27751461,0.51388986,0.45831654,1.02891209,0.04381953
"20",160,77,0,0.42795171,0,1.27751461,0.51388986,0.45831654,1.02891209,0.07582295
"21",161,77,0,0.42807447,0,1.27751461,0.51388986,0.45831654,1.02891209,0.04772473
"22",153,78,0,0,0,1.27349164,0.51227159,0.45687327,1.02567199,0.00848396
"23",154,78,0,0.41099356,0,1.27349164,0.51227159,0.45687327,1.02567199,0
"24",157,78,0,0.41099356,0,1.27349164,0.51227159,0.45687327,1.02567199,0.01196542
"25",158,78,0,0.41099356,0,1.27349164,0.51227159,0.45687327,1.02567199,0.04192364
"26",159,78,0,0.41099356,0,1.27349164,0.51227159,0.45687327,1.02567199,0.12270462
"27",160,78,0.66862613,0,0.8482012,1.27349164,0.51227159,0.45687327,1.02567199,0.25576814
"28",161,78,0.65693517,0,0.84704873,1.27349164,0.51227159,0.45687327,1.02567199,0.27577447
"29",152,79,0,0,0,1.26945712,0.51064867,0.45542586,1.02242258,0.07116515
"30",153,79,0,0.41197348,0,1.26945712,0.51064867,0.45542586,1.02242258,0.01123512
"31",154,79,0,0.41052116,0,1.26945712,0.51064867,0.45542586,1.02242258,0.04575171
"32",155,79,0,0.41069626,0,1.26945712,0.51064867,0.45542586,1.02242258,0.00348738
"33",156,79,0,0.4096915,0,1.26945712,0.51064867,0.45542586,1.02242258,0.0197109
"34",157,79,0,0.41213526,0,1.26945712,0.51064867,0.45542586,1.02242258,0.0382022
"35",158,79,0,0.4096915,0,1.26945712,0.51064867,0.45542586,1.02242258,0.01560932
"36",159,79,0,0.40397769,0,1.26945712,0.51064867,0.45542586,1.02242258,0.03961622
"37",160,79,0.70636788,0,0.85806042,1.26945712,0.51064867,0.45542586,1.02242258,0.17484336
