"","x","y","Crop.productivity","Forest.productivity","Grassland.productivity","Financial.capital","Human.capital","Social.capital","Manufactured.capital","Urban.capital"
"1",160,73,0.45038481,0,0.34177133,0.70651422,0.61434006,0.64662148,0.73906874,0.0298569
"2",161,74,0.4038378,0,0.33460304,0.70434118,0.61245053,0.64463266,0.73679557,0.03393758
"3",162,74,0.39167088,0,0.33718213,0.70434118,0.61245053,0.64463266,0.73679557,0.02413205
"4",160,75,0.46898828,0,0.33339267,0.69977043,0.61578089,0.64263833,0.68167109,0.08258807
"5",161,75,0.4032706,0,0.33474811,0.70216213,0.61055576,0.64263833,0.73451612,0.07107156
"6",162,75,0.2631986,0,0.29674678,0.70216213,0.61055576,0.64263833,0.73451612,0.04171881
"7",161,76,0.04485927,0.24958705,0.04011294,0.69997678,0.60865552,0.64063824,0.73223007,0.0386314
"8",162,76,0.26695687,0,0.29616039,0.69997678,0.60865552,0.64063824,0.73223007,0.02916316
"9",162,77,0.51780335,0,0.33211092,0.69778542,0.60675005,0.63863264,0.72993774,0.07219012
"10",163,77,0.23434427,0,0.26008649,0.69778542,0.60675005,0.63863264,0.72993774,0.05019397
"11",162,78,0.47915392,0,0.33380118,0.69558805,0.60483936,0.63662155,0.72763912,0.09127794
"12",163,78,0.34833723,0,0.33498182,0.45935993,0.58494548,0.53460891,0.62968323,0.12125578
"13",164,78,0.36483617,0,0.36545317,0.69558805,0.60483936,0.63662155,0.72763912,0.01336861
"14",165,78,0.371271,0,0.35248787,0.69558805,0.60483936,0.63662155,0.72763912,0.029774
"15",163,79,0.38779618,0,0.29294263,0.70407738,0.62555752,0.63460468,0.74329074,0.09871708
"16",164,79,0.37717006,0,0.34196274,0.69338437,0.60292318,0.63460468,0.7253339,0.03486879
"17",165,79,0.36333023,0,0.28222019,0.69338437,0.60292318,0.63460468,0.7253339,0.06448462
"18",166,79,0.31666152,0.12953532,0.2389349,0.69338437,0.60292318,0.63460468,0.7253339,0.0443755
"19",159,77,0.04616182,0.25308406,0.04798902,0.70854629,0.62952806,0.63863264,0.74800855,0.03048983
"20",160,77,0.04449759,0.25469043,0.05208623,0.70854629,0.62952806,0.63863264,0.74800855,0.05457711
"21",161,77,0.0442349,0.25435937,0.05215811,0.70854629,0.62952806,0.63863264,0.74800855,0.03405719
"22",153,78,0.0642946,0,0.3866454,0.70631504,0.62754564,0.63662155,0.74565303,0.00547319
"23",154,78,0,0.14345353,0.25434154,0.70631504,0.62754564,0.63662155,0.74565303,0
"24",157,78,0,0.14345353,0.25434703,0.70631504,0.62754564,0.63662155,0.74565303,0.00868571
"25",158,78,0,0.15174122,0.24296875,0.70631504,0.62754564,0.63662155,0.74565303,0.02954919
"26",159,78,0,0.15804065,0.25419837,0.70631504,0.62754564,0.63662155,0.74565303,0.09504318
"27",160,78,0.41075179,0,0.35611672,0.70631504,0.62754564,0.63662155,0.74565303,0.20573184
"28",161,78,0.5646965,0,0.39277009,0.70631504,0.62754564,0.63662155,0.74565303,0.22253343
"29",152,79,0.10039308,0.3014512,0.37499334,0.70407738,0.62555752,0.63460468,0.74329074,0.05687634
"30",153,79,0,0.14762019,0.25339305,0.70407738,0.62555752,0.63460468,0.74329074,0.00843414
"31",154,79,0,0.14468653,0.25339305,0.70407738,0.62555752,0.63460468,0.74329074,0.03195917
"32",155,79,0,0.14502753,0.25339305,0.70407738,0.62555752,0.63460468,0.74329074,0.002287
"33",156,79,0,0.14299906,0.25339305,0.70407738,0.62555752,0.63460468,0.74329074,0.01393489
"34",157,79,0,0.14793277,0.25339306,0.70407738,0.62555752,0.63460468,0.74329074,0.02667175
"35",158,79,0,0.14299906,0.25339305,0.70407738,0.62555752,0.63460468,0.74329074,0.01161762
"36",159,79,0.2242833,0.1232578,0.33508907,0.70407738,0.62555752,0.63460468,0.74329074,0.02876386
"37",160,79,0.26453434,0,0.30197442,0.70407738,0.62555752,0.63460468,0.74329074,0.128658
"38",161,79,0.46778993,0,0.34456558,0.70407738,0.62555752,0.63460468,0.74329074,0.38075106
"39",162,79,0.51123244,0,0.33670288,0.70407738,0.62555752,0.63460468,0.74329074,0.1519997
"40",151,80,0.08880416,0.30026709,0.37196049,0.70183392,0.62356426,0.6325826,0.74092234,0.04594483
"41",152,80,0.0439779,0.231478,0.05309244,0.70183392,0.62356426,0.6325826,0.74092234,0.09311144
"42",153,80,0.04412515,0.22477881,0.05308447,0.70183392,0.62356426,0.6325826,0.74092234,0.07073481
"43",154,80,0.50834811,0,0.34472183,0.70183392,0.62356426,0.6325826,0.74092234,0.07122309
"44",155,80,0.44016815,0,0.35964989,0.70183392,0.62356426,0.6325826,0.74092234,0.01849314
"45",156,80,0.31068895,0,0.29591463,0.70183392,0.62356426,0.6325826,0.74092234,0.03966676
"46",157,80,0.51129832,0,0.3696662,0.70183392,0.62356426,0.6325826,0.74092234,0.10850664
"47",158,80,0.387843,0,0.28736479,0.70183392,0.62356426,0.6325826,0.74092234,0.06057364
"48",159,80,0.21904245,0.13075426,0.32808592,0.70183392,0.62356426,0.6325826,0.74092234,0.05257988
"49",160,80,0.26069139,0,0.29563575,0.70183392,0.62356426,0.6325826,0.74092234,0.06370353
"50",161,80,0.38436425,0,0.30658615,0.70183392,0.62356426,0.6325826,0.74092234,0.42483587
"51",162,80,0.50285015,0,0.35729361,0.70183392,0.62356426,0.6325826,0.74092234,0.32419177
"52",163,80,0.40150195,0,0.2966054,0.70183392,0.62356426,0.6325826,0.74092234,0.16375991
"53",164,80,0.39834264,0,0.28529422,0.70183392,0.62356426,0.6325826,0.74092234,0.09598163
"54",165,80,0.5028452,0,0.33481879,0.70183392,0.62356426,0.6325826,0.74092234,0.08180332
"55",154,81,0.04400022,0.24747117,0.05315527,0.69958407,0.62156531,0.63055473,0.73854717,0.04777752
