"","x","y","Crop.productivity","Forest.productivity","Grassland.productivity","Financial.capital","Human.capital","Social.capital","Manufactured.capital","Urban.capital"
"1",160,73,0.444079,0,0.27292462,1.06641793,0.76534744,0.84055182,0.98852458,0.04190634
"2",161,74,0.41564638,0,0.27187558,1.06313792,0.76299345,0.83796652,0.98548415,0.0510032
"3",162,74,0.42220639,0,0.27189901,1.06313792,0.76299345,0.83796652,0.98548415,0.03169975
"4",160,75,0.45554322,0,0.27089074,1.05805289,0.76276944,0.83537407,0.98243532,0.12270446
"5",161,75,0.41937288,0,0.27131176,1.05984885,0.76063294,0.83537407,0.98243532,0.10249179
"6",162,75,0.43032731,0,0.2838465,1.05984885,0.76063294,0.83537407,0.98243532,0.05124616
"7",161,76,0.22690528,0.26102001,0.22760568,1.05655026,0.75826561,0.83277412,0.97937767,0.05689947
"8",162,76,0.42840864,0.0385545,0.28450527,1.05655026,0.75826561,0.83277412,0.97937767,0.03689246
"9",162,77,0.41769533,0,0.03817584,1.05324261,0.75589177,0.83016702,0.97631161,0.10408926
"10",163,77,0.35781262,0,0.26616313,1.05324261,0.75589177,0.83016702,0.97631161,0.06724621
"11",162,78,0.37657941,0,0.26789429,1.04992588,0.75351142,0.82755277,0.97323715,0.14659972
"12",163,78,0.35451449,0,0.26793191,0.8650068,0.74654655,0.77534828,0.88241352,0.15899639
"13",164,78,0.37860604,0.0266336,0.36543718,1.04992588,0.75351142,0.82755277,0.97323715,0.01882084
"14",165,78,0.38680769,0.0266336,0.34229175,1.04992588,0.75351142,0.82755277,0.97323715,0.04395902
"15",163,79,0.53979506,0,0.24710661,1.05512982,0.76045775,0.82493102,0.97015386,0.1434152
"16",164,79,0.3693919,0,0.26218212,1.04659964,0.75112424,0.82493102,0.97015386,0.05518189
"17",165,79,0.37550938,0,0.03772828,1.04659964,0.75112424,0.82493102,0.97015386,0.09553713
"18",166,79,0.34524436,0.22068426,0.31434909,1.04659964,0.75112424,0.82493102,0.97015386,0.05788887
"19",159,77,0.3800395,0.38111286,0.22689313,1.06182693,0.76528452,0.83016702,0.97631161,0.05069999
"20",160,77,0.38347031,0.31013846,0,1.06182693,0.76528452,0.83016702,0.97631161,0.08345659
"21",161,77,0.22646766,0.3088943,0,1.06182693,0.76528452,0.83016702,0.97631161,0.05428058
"22",153,78,0.01039499,0,0.34371235,1.05848317,0.7628746,0.82755277,0.97323715,0.00952779
"23",154,78,0.08239134,0.52755445,0.36445524,1.05848317,0.7628746,0.82755277,0.97323715,0
"24",157,78,0.0821545,0.52755445,0.36448073,1.05848317,0.7628746,0.82755277,0.97323715,0.0134098
"25",158,78,0.01233781,0.53194829,0.30007882,1.05848317,0.7628746,0.82755277,0.97323715,0.04625134
"26",159,78,0.01241932,0.535288,0.29978324,1.05848317,0.7628746,0.82755277,0.97323715,0.13616374
"27",160,78,0.45633088,0,0.29203532,1.05848317,0.7628746,0.82755277,0.97323715,0.27595779
"28",161,78,0.62232066,0,0.29463585,1.05848317,0.7628746,0.82755277,0.97323715,0.29017048
"29",152,79,0.10914658,0,0.35984193,1.05512982,0.76045775,0.82493102,0.97015386,0.07727184
"30",153,79,0.08637178,0.53072105,0.36082063,1.05512982,0.76045775,0.82493102,0.97015386,0.01392756
"31",154,79,0.08629008,0.52765694,0.36177667,1.05512982,0.76045775,0.82493102,0.97015386,0.05024402
"32",155,79,0.08630415,0.52800114,0.36162387,1.05512982,0.76045775,0.82493102,0.97015386,0.0038017
"33",156,79,0.0861875,0.52588312,0.36276761,1.05512982,0.76045775,0.82493102,0.97015386,0.02344129
"34",157,79,0.08637554,0.53103454,0.36077232,1.05512982,0.76045775,0.82493102,0.97015386,0.04379031
"35",158,79,0.0861875,0.52588313,0.36276761,1.05512982,0.76045775,0.82493102,0.97015386,0.01868635
"36",159,79,0.24306506,0,0.23423723,1.05512982,0.76045775,0.82493102,0.97015386,0.04467971
"37",160,79,0.25167418,0,0.26917996,1.05512982,0.76045775,0.82493102,0.97015386,0.199313
"38",161,79,0.54090299,0,0.26548123,1.05512982,0.76045775,0.82493102,0.97015386,0.47940948
"39",162,79,0.55086578,0,0.24710661,1.05512982,0.76045775,0.82493102,0.97015386,0.21551991
"40",151,80,0.0915559,0,0.37797452,1.05176778,0.75803465,0.82230248,0.96706258,0.06799355
"41",152,80,0.2256475,0.23576759,0.28500758,1.05176778,0.75803465,0.82230248,0.96706258,0.13315621
"42",153,80,0.22570032,0.27009528,0.28500758,1.05176778,0.75803465,0.82230248,0.96706258,0.09929447
"43",154,80,0.42097824,0,0.30118996,1.05176778,0.75803465,0.82230248,0.96706258,0.10718135
"44",155,80,0.4305579,0,0.30219827,1.05176778,0.75803465,0.82230248,0.96706258,0.02784635
