"","x","y","Crop.productivity","Forest.productivity","Grassland.productivity","Financial.capital","Human.capital","Social.capital","Manufactured.capital","Urban.capital"
"1",160,73,0.81679727,0,0.54431793,1.18096159,0.86433467,1.05616814,1.03399472,0.05809084
"2",161,74,0.51576611,0,0.27554677,1.17732929,0.86167622,1.05291966,1.03081444,0.08794166
"3",162,74,0.52200604,0,0.54709382,1.17732929,0.86167622,1.05291966,1.03081444,0.06386988
"4",160,75,0.7461515,0,0.2746943,1.17250423,0.85924265,1.0496622,1.02762537,0.17958592
"5",161,75,0.52248254,0,0.2746943,1.17368694,0.85901042,1.0496622,1.02762537,0.18259928
"6",162,75,0.51910665,0,0.56315922,1.17368694,0.85901042,1.0496622,1.02762537,0.0964965
"7",161,76,0,0.25320585,0,1.17003405,0.8563369,1.04639532,1.02442707,0.10456305
"8",162,76,0.5082636,0.24189316,0.5631955,1.17003405,0.8563369,1.04639532,1.02442707,0.07076887
"9",162,77,0.506172,0,0,1.16637111,0.85365604,1.04311945,1.02121998,0.18704858
"10",163,77,0.44553481,0,0.52201333,1.16637111,0.85365604,1.04311945,1.02121998,0.11933605
"11",162,78,0.47036569,0,0.53846636,1.16269814,0.85096783,1.03983461,1.01800409,0.22001185
"12",163,78,0.4451133,0,0.53833867,1.05113223,0.8499901,1.02684507,0.9750484,0.22916979
"13",164,78,0.49067335,0,0.5280498,1.16269814,0.85096783,1.03983461,1.01800409,0.02543797
"14",165,78,0.48830239,0,0.53131213,1.16269814,0.85096783,1.03983461,1.01800409,0.07147215
"15",163,79,0.44763561,0,0.2973736,1.16429192,0.84918919,1.03654033,1.01477898,0.19758198
"16",164,79,0.48687597,0,0.26026894,1.15901463,0.8482719,1.03654033,1.01477898,0.08037338
"17",165,79,0.49187311,0,0.25832696,1.15901463,0.8482719,1.03654033,1.01477898,0.13373006
"18",166,79,0.56848818,0.11480173,0.50166715,1.15901463,0.8482719,1.03654033,1.01477898,0.07715668
"19",159,77,0.15231923,0.26746156,0.26074136,1.1716819,0.85457916,1.04311945,1.02121998,0.07585795
"20",160,77,0.14869226,0.26094539,0,1.1716819,0.85457916,1.04311945,1.02121998,0.11297224
"21",161,77,0.11605345,0.2615049,0,1.1716819,0.85457916,1.04311945,1.02121998,0.07707841
"22",153,78,0.06067097,0,0.42526707,1.16799221,0.85188804,1.03983461,1.01800409,0.01371171
"23",154,78,0,0.34731101,0.28202801,1.16799221,0.85188804,1.03983461,1.01800409,0
"24",157,78,0,0.34731101,0.28202873,1.16799221,0.85188804,1.03983461,1.01800409,0.01843531
"25",158,78,0,0.35442213,0.28203686,1.16799221,0.85188804,1.03983461,1.01800409,0.06007813
"26",159,78,0,0.35982723,0.28203879,1.16799221,0.85188804,1.03983461,1.01800409,0.18491462
"27",160,78,0.57798089,0,0.61188166,1.16799221,0.85188804,1.03983461,1.01800409,0.35007953
"28",161,78,0.56955168,0,0.61188166,1.16799221,0.85188804,1.03983461,1.01800409,0.34348556
"29",152,79,0.13384499,0.26780047,0.40864892,1.16429192,0.84918919,1.03654033,1.01477898,0.10016726
"30",153,79,0,0.3400678,0.28114527,1.16429192,0.84918919,1.03654033,1.01477898,0.02661255
"31",154,79,0,0.3439536,0.2811453,1.16429192,0.84918919,1.03654033,1.01477898,0.06370854
"32",155,79,0,0.3435279,0.28114527,1.16429192,0.84918919,1.03654033,1.01477898,0.00489182
"33",156,79,0,0.3462107,0.28114527,1.16429192,0.84918919,1.03654033,1.01477898,0.03957755
"34",157,79,0,0.33968575,0.28114527,1.16429192,0.84918919,1.03654033,1.01477898,0.06646939
"35",158,79,0,0.3462107,0.28114527,1.16429192,0.84918919,1.03654033,1.01477898,0.03174916
"36",159,79,0.14471115,0.13496159,0.31421709,1.16429192,0.84918919,1.03654033,1.01477898,0.06466769
"37",160,79,0,0,0,1.16429192,0.84918919,1.03654033,1.01477898,0.28206445
"38",161,79,0.51654972,0,0.28283279,1.16429192,0.84918919,1.03654033,1.01477898,0.56683083
"39",162,79,0.45886686,0,0.27157222,1.16429192,0.84918919,1.03654033,1.01477898,0.27694484
"40",151,80,0.11779491,0.26629543,0.39830561,1.16058205,0.84648336,1.03323753,1.01154552,0.09703461
"41",152,80,0,0.23022928,0,1.16058205,0.84648336,1.03323753,1.01154552,0.1826932
"42",153,80,0,0.24851907,0,1.16058205,0.84648336,1.03323753,1.01154552,0.13088887
"43",154,80,0.34053077,0,0.31159854,1.16058205,0.84648336,1.03323753,1.01154552,0.14246462
"44",155,80,0.34955496,0,0.31415295,1.16058205,0.84648336,1.03323753,1.01154552,0.04168412
"45",156,80,0.57901505,0,0.6240521,1.16058205,0.84648336,1.03323753,1.01154552,0.09703926
