"","x","y","Crop.productivity","Forest.productivity","Grassland.productivity","Financial.capital","Human.capital","Social.capital","Manufactured.capital","Urban.capital"
"1",160,73,0.67236652,0.05157616,0.44624313,1.15317633,0.86195127,1.0399264,1.02619206,0.05806477
"2",161,74,0.50276378,0.05141752,0.44458001,1.14962949,0.85930015,1.03672787,1.02303578,0.08787585
"3",162,74,0.49553086,0.05141752,0.44498646,1.14962949,0.85930015,1.03672787,1.02303578,0.06377605
"4",160,75,0.58114989,0.05125845,0.4434943,1.14467987,0.85692037,1.03352051,1.01987078,0.1795206
"5",161,75,0.51113072,0.05125845,0.44320459,1.14607284,0.8566417,1.03352051,1.01987078,0.18247276
"6",162,75,0.5012627,0.05125845,0.49396348,1.14607284,0.8566417,1.03352051,1.01987078,0.09637537
"7",161,76,0,0.26270074,0,1.14250589,0.85397555,1.03030386,1.01669661,0.1044512
"8",162,76,0.49264095,0.22656808,0.46533799,1.14250589,0.85397555,1.03030386,1.01669661,0.07070625
"9",162,77,0.48805425,0.05112522,0,1.13892914,0.85130208,1.02707837,1.01351372,0.18690461
"10",163,77,0.38227286,0,0.42626632,1.13892914,0.85130208,1.02707837,1.01351372,0.11922099
"11",162,78,0.42597793,0,0.45462743,1.13534258,0.84862128,1.02384404,1.01032211,0.21991082
"12",163,78,0.39230676,0,0.4541475,1.00237477,0.84744801,1.0082566,0.95896557,0.22897224
"13",164,78,0.59613614,0,0.63064724,1.13534258,0.84862128,1.02384404,1.01032211,0.0254303
"14",165,78,0.67577188,0,0.65058655,1.13534258,0.84862128,1.02384404,1.01032211,0.07141183
"15",163,79,0.64129548,0,0.44635219,1.13802657,0.84703354,1.02060043,1.00712133,0.19747731
"16",164,79,0.43400116,0,0.42818506,1.13174573,0.84593278,1.02060043,1.00712133,0.0803425
"17",165,79,0.44466436,0,0.31096063,1.13174573,0.84593278,1.02060043,1.00712133,0.13368086
"18",166,79,0.53268465,0.06464428,0.38378526,1.13174573,0.84593278,1.02060043,1.00712133,0.07704812
"19",159,77,0,0.27469609,0,1.14524985,0.85240983,1.02707837,1.01351372,0.07578462
"20",160,77,0,0.27865161,0,1.14524985,0.85240983,1.02707837,1.01351372,0.11286005
"21",161,77,0,0.27825812,0,1.14524985,0.85240983,1.02707837,1.01351372,0.07703623
"22",153,78,0.05730966,0,0.46764309,1.14164339,0.84972554,1.02384404,1.01032211,0.01370022
"23",154,78,0,0.1399203,0.29095088,1.14164339,0.84972554,1.02384404,1.01032211,0
"24",157,78,0,0.1399203,0.29095221,1.14164339,0.84972554,1.02384404,1.01032211,0.01841442
"25",158,78,0,0.15008316,0.2909668,1.14164339,0.84972554,1.02384404,1.01032211,0.06002887
"26",159,78,0,0.15780792,0.29097028,1.14164339,0.84972554,1.02384404,1.01032211,0.18478322
"27",160,78,0.50150788,0,0.48713079,1.14164339,0.84972554,1.02384404,1.01032211,0.34978505
"28",161,78,0.73690578,0.05100128,0.51461355,1.14164339,0.84972554,1.02384404,1.01032211,0.34333641
"29",152,79,0.11011274,0.37710225,0.59983224,1.13802657,0.84703354,1.02060043,1.00712133,0.10010963
"30",153,79,0,0.1426053,0.29004843,1.13802657,0.84703354,1.02060043,1.00712133,0.02657906
"31",154,79,0,0.14061775,0.29004843,1.13802657,0.84703354,1.02060043,1.00712133,0.06367899
"32",155,79,0,0.14085167,0.29004843,1.13802657,0.84703354,1.02060043,1.00712133,0.00488383
"33",156,79,0,0.13947702,0.29004847,1.13802657,0.84703354,1.02060043,1.00712133,0.03953861
"34",157,79,0,0.14282043,0.29004843,1.13802657,0.84703354,1.02060043,1.00712133,0.06639302
"35",158,79,0,0.13947702,0.29004847,1.13802657,0.84703354,1.02060043,1.00712133,0.03170717
"36",159,79,0.12496261,0.16604848,0.33698182,1.13802657,0.84703354,1.02060043,1.00712133,0.06459928
"37",160,79,0,0,0,1.13802657,0.84703354,1.02060043,1.00712133,0.28190429
"38",161,79,0.63050151,0,0.45919524,1.13802657,0.84703354,1.02060043,1.00712133,0.56660854
"39",162,79,0.66688434,0,0.48712318,1.13802657,0.84703354,1.02060043,1.00712133,0.27683003
"40",151,80,0.09812829,0.37560043,0.45101944,1.1344004,0.84433458,1.01734841,1.00391227,0.09688737
"41",152,80,0,0.24940825,0,1.1344004,0.84433458,1.01734841,1.00391227,0.18254365
"42",153,80,0,0.24363897,0,1.1344004,0.84433458,1.01734841,1.00391227,0.13079371
"43",154,80,0.5031539,0,0.49483174,1.1344004,0.84433458,1.01734841,1.00391227,0.14235028
"44",155,80,0.51286181,0,0.53079144,1.1344004,0.84433458,1.01734841,1.00391227,0.04164074
"45",156,80,0.50718131,0,0.49454818,1.1344004,0.84433458,1.01734841,1.00391227,0.096911
"46",157,80,0.69787257,0,0.67471547,1.1344004,0.84433458,1.01734841,1.00391227,0.2040278
"47",158,80,0.50579968,0,0.46650037,1.1344004,0.84433458,1.01734841,1.00391227,0.12740989
"48",159,80,0,0.17988861,0.30628954,1.1344004,0.84433458,1.01734841,1.00391227,0.10865926
"49",160,80,0.29809855,0,0.49436734,1.1344004,0.84433458,1.01734841,1.00391227,0.14754521
"50",161,80,0.63790332,0,0.48110849,1.1344004,0.84433458,1.01734841,1.00391227,0.56143524
"51",162,80,0.66322563,0,0.48649261,1.1344004,0.84433458,1.01734841,1.00391227,0.4751597
"52",163,80,0.66463373,0,0.48649261,1.1344004,0.84433458,1.01734841,1.00391227,0.28751487
"53",164,80,0.66890795,0,0.46894962,1.1344004,0.84433458,1.01734841,1.00391227,0.19687597
"54",165,80,0.66087097,0,0.46894962,1.1344004,0.84433458,1.01734841,1.00391227,0.17792132
"55",154,81,0,0.27067534,0,1.13076386,0.84162791,1.01408711,1.00069404,0.08920728
"56",155,81,0.73947825,0,0.49252746,1.13076386,0.84162791,1.01408711,1.00069404,0.16043518
"57",156,81,0.74043337,0,0,1.13076386,0.84162791,1.01408711,1.00069404,0.13226303
"58",157,81,0.74025971,0,0,1.13076386,0.84162791,1.01408711,1.00069404,0.23502608
"59",158,81,0.6066068,0,0,1.13076386,0.84162791,1.01408711,1.00069404,0.25608428
"60",159,81,0.61623593,0,0.47776806,1.13076386,0.84162791,1.01408711,1.00069404,0.34069581
"61",160,81,0,0,0.47242863,1.13076386,0.84162791,1.01408711,1.00069404,0.40749312
"62",161,81,0.64301588,0,0.47772082,1.13076386,0.84162791,1.01408711,1.00069404,0.52975228
"63",163,81,0.66011324,0,0.48493307,1.13076386,0.84162791,1.01408711,1.00069404,0.35660171
"64",164,81,0.63932054,0,0.48493307,1.13076386,0.84162791,1.01408711,1.00069404,0.20348785
"65",165,81,0.64798877,0,0.51628824,1.13076386,0.84162791,1.01408711,1.00069404,0.14928317
"66",154,82,0,0.26010787,0,1.12711747,0.8389139,1.01081697,0.99746709,0.0320506
"67",155,82,0,0.27367192,0,1.12711747,0.8389139,1.01081697,0.99746709,0.08174846
"68",156,82,0.22399802,0.03179708,0.41469292,1.12711747,0.8389139,1.01081697,0.99746709,0.08181367
"69",157,82,0.72406557,0,0.48886627,1.12711747,0.8389139,1.01081697,0.99746709,0.24809499
"70",158,82,0.62215689,0,0,1.12711747,0.8389139,1.01081697,0.99746709,0.25572272
"71",159,82,0.62437225,0,0.46593894,1.12711747,0.8389139,1.01081697,0.99746709,0.22621829
"72",160,82,0.62823627,0,0.46593894,1.12711747,0.8389139,1.01081697,0.99746709,0.20626323
"73",161,82,0.62845826,0,0.48336926,1.12711747,0.8389139,1.01081697,0.99746709,0.32009716
"74",162,82,0.62397801,0,0,1.12711747,0.8389139,1.01081697,0.99746709,0.34341305
"75",163,82,0.62046093,0,0,1.12711747,0.8389139,1.01081697,0.99746709,0.25500947
"76",164,82,0.70523517,0,0.4833693,1.12711747,0.8389139,1.01081697,0.99746709,0.24465457
"77",152,83,0.38115244,0.2537211,0.31912408,1.12346172,0.83619292,1.00753843,0.99423185,0.032459
"78",153,83,0.38019425,0.25410777,0.31912408,1.12346172,0.83619292,1.00753843,0.99423185,0.04137759
"79",154,83,0,0.24114989,0,1.12346172,0.83619292,1.00753843,0.99423185,0.10460357
"80",155,83,0.22097296,0.03219797,0.41334792,1.12346172,0.83619292,1.00753843,0.99423185,0.12160628
"81",156,83,0.22347782,0.03219797,0.41334788,1.12346172,0.83619292,1.00753843,0.99423185,0.10251319
"82",157,83,0.72761158,0,0.48934686,1.12346172,0.83619292,1.00753843,0.99423185,0.07782735
"83",158,83,0.34705838,0,0.39161891,1.12346172,0.83619292,1.00753843,0.99423185,0.15184883
"84",159,83,0.35962277,0,0.36245536,1.12346172,0.83619292,1.00753843,0.99423185,0.20643544
"85",160,83,0.35693137,0,0.26466189,1.12346172,0.83619292,1.00753843,0.99423185,0.25820143
"86",161,83,0.35503201,0,0,1.12346172,0.83619292,1.00753843,0.99423185,0.18546629
"87",162,83,0.35337472,0,0.26938638,1.12346172,0.83619292,1.00753843,0.99423185,0.26953119
"88",163,83,0.63331574,0,0,1.12346172,0.83619292,1.00753843,0.99423185,0.24848811
"89",164,83,0.62622283,0,0.48180151,1.12346172,0.83619292,1.00753843,0.99423185,0.22672715
"90",165,83,0.64708423,0,0.51294328,1.12346172,0.83619292,1.00753843,0.99423185,0.13441067
"91",153,84,0.29164427,0.03553174,0.41199903,1.11979561,0.83346423,1.00425061,0.99098745,0.12915151
"92",154,84,0.22601784,0.03365006,0.41199903,1.11979561,0.83346423,1.00425061,0.99098745,0.17122501
"93",155,84,0.22410029,0,0.38629567,1.11979561,0.83346423,1.00425061,0.99098745,0.13873673
"94",156,84,0.22471086,0,0.41199903,1.11979561,0.83346423,1.00425061,0.99098745,0.10074186
"95",157,84,0.34673593,0,0,1.11979561,0.83346423,1.00425061,0.99098745,0.0884861
"96",158,84,0.34729127,0,0.39034101,1.11979561,0.83346423,1.00425061,0.99098745,0.12055307
"97",159,84,0.36125302,0,0.39771158,1.11979561,0.83346423,1.00425061,0.99098745,0.16287827
"98",160,84,0.57607294,0,0.36800524,1.11979561,0.83346423,1.00425061,0.99098745,0.14851322
"99",162,84,0.55800905,0,0.40647851,1.11979561,0.83346423,1.00425061,0.99098745,0.15574785
"100",163,84,0.56172035,0,0.54958202,1.11979561,0.83346423,1.00425061,0.99098745,0.17830157
"101",154,85,0.22811825,0.03198755,0,1.11611964,0.83072821,1.00095394,0.98773432,0.09389232
"102",155,85,0.22870881,0.03309124,0.41064656,1.11611964,0.83072821,1.00095394,0.98773432,0.05622241
"103",156,85,0.35530548,0,0.36266576,1.11611964,0.83072821,1.00095394,0.98773432,0.09224436
"104",162,81,0.64010436,0,0.46740339,1.13014495,0.84484075,1.01408711,1.00069404,0.75891356
"105",143,71,0,0,0.24757149,1.15744586,0.86807714,1.04629603,1.03247757,0.04378936
"106",144,71,0,0,0.24798418,1.15744586,0.86807714,1.04629603,1.03247757,0.07681403
"107",145,71,0,0.31443258,0.33177609,1.15744586,0.86807714,1.04629603,1.03247757,0.1280819
"108",146,71,0,0.29934372,0.32347986,1.15744586,0.86807714,1.04629603,1.03247757,0.16843508
"109",147,71,0,0.67965487,0.30453895,1.15744586,0.86807714,1.04629603,1.03247757,0.28242397
"110",148,71,0,0.66639543,0.32085626,1.15744586,0.86807714,1.04629603,1.03247757,0.25251028
"111",149,71,0,0.66124575,0.33333103,1.15744586,0.86807714,1.04629603,1.03247757,0.33841511
"112",150,71,0,0.60786911,0.33494744,1.15744586,0.86807714,1.04629603,1.03247757,0.16334327
"113",151,71,0,0.6343691,0.33540427,1.15744586,0.86807714,1.04629603,1.03247757,0.13218221
"114",152,71,0,0.56419797,0.35524396,1.15744586,0.86807714,1.04629603,1.03247757,0.10029237
"115",141,72,0,0,0.26863092,1.15392761,0.86543847,1.04311563,1.02933918,0.04154292
"116",142,72,0,0,0.24929026,1.15392761,0.86543847,1.04311563,1.02933918,0.04975285
"117",143,72,0,0,0.24951499,1.15392761,0.86543847,1.04311563,1.02933918,0.06932166
"118",144,72,0,0,0.24792986,1.15392761,0.86543847,1.04311563,1.02933918,0.09948328
"119",145,72,0,0.63690728,0.35416414,1.15392761,0.86543847,1.04311563,1.02933918,0.13737431
"120",146,72,0,0,0.24518505,1.15392761,0.86543847,1.04311563,1.02933918,0.14652907
"121",147,72,0,0,0.24583328,1.15392761,0.86543847,1.04311563,1.02933918,0.05012838
"122",148,72,0,0.77296737,0,1.15392761,0.86543847,1.04311563,1.02933918,0.12163405
"123",149,72,0,0.77746978,0,1.15392761,0.86543847,1.04311563,1.02933918,0.05589996
"124",150,72,0,0.73768345,0,1.15392761,0.86543847,1.04311563,1.02933918,0.14075225
"125",151,72,0,0.72120183,0,1.15392761,0.86543847,1.04311563,1.02933918,0.05178743
"126",152,72,0,0.76533039,0,1.15392761,0.86543847,1.04311563,1.02933918,0.07912166
"127",153,72,0,0.72359396,0,1.15392761,0.86543847,1.04311563,1.02933918,0.09232852
"128",141,73,0,0,0.2484319,1.15039957,0.86279247,1.0399264,1.02619206,0.05716857
"129",142,73,0,0,0.24497438,1.15039957,0.86279247,1.0399264,1.02619206,0.03541291
"130",143,73,0,0,0.24484173,1.15039957,0.86279247,1.0399264,1.02619206,0.0541693
